Authority code,Authority nice name,Library service,Period,Members,Events,Attendance,Issues,Visits,Computer hours,Wifi sessions,Population under 12,Population 12-17,Population adult
E09000022,Lambeth,Lambeth Libraries,2023-04-01/P1Y,57275,0,0,0,0,0,0,33604,17850,265466
E10000017,Lancashire,Lancashire,2023-04-01/P1Y,112302,0,0,4524114,2622563,231470,0,167438,93954,1033522
E06000016,Leicester,Leicester City Libraries,2023-04-01/P1Y,59427,6362,25029,681805,1134494,86136,74049,59060,31703,297585
E10000018,Leicestershire,Leicestershire Libraries,2023-04-01/P1Y,53096,0,0,1675004,615060,62929,16833,94770,52669,598134
E09000023,Lewisham,Lewisham,2023-04-01/P1Y,19187,0,0,811638,1215813,34113,55024,41594,20458,239203
E10000019,Lincolnshire,Lincolnshire,2023-04-01/P1Y,43553,0,0,1851679,1032974,72657,38285,93958,53996,641548
E09000002,Barking and Dagenham,London Borough Of Barking & Dagenham,2023-04-01/P1Y,8604,4512,59516,257364,786221,22580,0,44071,22394,166282
E09000003,Barnet,London Borough Of Barnet,2023-04-01/P1Y,34487,2084,44271,1167317,834261,63182,112943,61102,32749,311199
E09000004,Bexley,London Borough Of Bexley,2023-04-01/P1Y,28809,0,0,0,0,0,0,38137,20587,197710
E09000007,Camden,London Borough Of Camden,2023-04-01/P1Y,11658,2586,25203,269389,702963,144792,178344,22922,12354,181667
E09000009,Ealing,London Borough Of Ealing,2023-04-01/P1Y,44796,0,0,593164,596233,0,0,53523,28837,303625
E09000017,Hillingdon,London Borough Of Hillingdon,2023-04-01/P1Y,34277,6599,90354,876334,1081269,0,0,50546,24978,253661
E09000018,Hounslow,London Borough Of Hounslow Library Service,2023-04-01/P1Y,29908,801,7161,598709,715803,205946,0,44243,23311,231870
E09000027,Richmond upon Thames,London Borough Of Richmond Upon Thames,2023-04-01/P1Y,28941,2572,26170,1091857,909144,49374,0,28009,16029,152640
E09000029,Sutton,London Borough Of Sutton,2023-04-01/P1Y,35260,2549,60530,860992,5184126,0,0,32464,18390,163671
E06000032,Luton,Luton Libraries,2023-04-01/P1Y,12570,0,0,38876,326905,35195,0,41835,20445,176810
E08000003,Manchester,Manchester Libraries,2023-04-01/P1Y,92663,0,146847,1153283,2829076,313036,518726,86399,45432,457839
E09000024,Merton,Merton Libraries,2023-04-01/P1Y,0,7772,99456,473134,928831,93303,24076,31336,15863,171340
E06000002,Middlesbrough,Middlesbrough,2023-04-01/P1Y,2710,0,0,139917,0,0,0,23692,11925,120544
E08000021,Newcastle upon Tyne,Newcastle Libraries,2023-04-01/P1Y,14225,0,0,489418,552037,12294410,0,40717,20489,259399
E09000025,Newham,Newham,2023-04-01/P1Y,65909,0,0,1066002,1302945,144464,79622,57032,27376,290115
E10000020,Norfolk,Norfolk Library & Information Service,2023-04-01/P1Y,144487,0,0,5309377,2278553,181321,0,109793,62037,768529
E06000012,North East Lincolnshire,North East Lincolnshire,2023-04-01/P1Y,8925,508,9777,192616,147063,59181,0,21482,12040,126389
E06000013,North Lincolnshire,North Lincolnshire Council,2023-04-01/P1Y,11318,387,3552,214908,330145,9665,0,22031,12644,136661
E06000024,North Somerset,North Somerset,2023-04-01/P1Y,27658,3389,31820,731936,435143,29829,0,28238,16122,180218
E08000022,North Tyneside,North Tyneside,2023-04-01/P1Y,20699,2348,40043,426457,910228,51539,29666,27284,14979,172762
E10000023,North Yorkshire,North Yorkshire Libraries,2023-04-01/P1Y,58510,9187,0,2449965,1761827,102111,661573,0,0,0
E06000057,Northumberland,Northumberland Libraries,2023-04-01/P1Y,20130,1978,31841,597731,0,24088,0,37335,21721,272364
E06000018,Nottingham,Nottingham City Council,2023-04-01/P1Y,38053,4545,71891,477188,551245,79928,0,45420,23294,262363
E10000024,Nottinghamshire,Nottinghamshire,2023-04-01/P1Y,108627,0,0,2380886,1806535,123865,122620,110565,61007,685441
E08000004,Oldham,Oldham Libraries,2023-04-01/P1Y,14771,4370,58172,342502,767029,72900,41462,41766,22303,187491
E10000025,Oxfordshire,Oxfordshire Libraries,2023-04-01/P1Y,70873,10856,193179,3418088,1923861,87369,0,100531,56116,606571
E06000031,Peterborough,Peterborough Libraries,2023-04-01/P1Y,170757,1483,19780,252479,195560,35630,15467,37712,19909,166034
E06000044,Portsmouth,Portsmouth City Council,2023-04-01/P1Y,14886,3071,21061,367930,655862,44521,0,28439,14617,171265
