Authority,Location,Period,Count
E06000058,Home delivery,2024-01-01/P1M,361
E06000058,Home delivery,2024-02-01/P1M,374
E06000058,Home delivery,2024-03-01/P1M,364
E06000036,Shared building,2023-04-01/P1M,25887
E06000036,Shared building,2023-05-01/P1M,26285
E06000036,Shared building,2023-06-01/P1M,27209
E06000036,Shared building,2023-07-01/P1M,34688
E06000036,Shared building,2023-08-01/P1M,35523
E06000036,Shared building,2023-09-01/P1M,29394
E06000036,Shared building,2023-10-01/P1M,29171
E06000036,Shared building,2023-11-01/P1M,28167
E06000036,Shared building,2023-12-01/P1M,24557
E06000036,Shared building,2024-01-01/P1M,29662
E06000036,Shared building,2024-02-01/P1M,30434
E06000036,Shared building,2024-03-01/P1M,30570
E06000036,Home delivery,2023-04-01/P1M,216
E06000036,Home delivery,2023-05-01/P1M,218
E06000036,Home delivery,2023-06-01/P1M,221
E06000036,Home delivery,2023-07-01/P1M,215
E06000036,Home delivery,2023-08-01/P1M,220
E06000036,Home delivery,2023-09-01/P1M,214
E06000036,Home delivery,2023-10-01/P1M,213
E06000036,Home delivery,2023-11-01/P1M,221
E06000036,Home delivery,2023-12-01/P1M,218
E06000036,Home delivery,2024-01-01/P1M,216
E06000036,Home delivery,2024-02-01/P1M,215
E06000036,Home delivery,2024-03-01/P1M,222
E08000032,Shared building,2023-04-01/P1M,26283
E08000032,Shared building,2023-05-01/P1M,39828
E08000032,Shared building,2023-06-01/P1M,26113
E08000032,Shared building,2023-07-01/P1M,28988
E08000032,Shared building,2023-08-01/P1M,30067
E08000032,Shared building,2023-09-01/P1M,26539
E08000032,Shared building,2023-10-01/P1M,28027
E08000032,Shared building,2023-11-01/P1M,27254
E08000032,Shared building,2023-12-01/P1M,22853
E08000032,Shared building,2024-01-01/P1M,27730
E08000032,Shared building,2024-02-01/P1M,29212
E08000032,Shared building,2024-03-01/P1M,28156
E08000032,Library,2023-04-01/P1M,37272
E08000032,Library,2023-05-01/P1M,25411
E08000032,Library,2023-06-01/P1M,40500
E08000032,Library,2023-07-01/P1M,42793
E08000032,Library,2023-08-01/P1M,44959
E08000032,Library,2023-09-01/P1M,41342
E08000032,Library,2023-10-01/P1M,43980
