Authority,Format,Content age group,Period,Count
E06000052,Physical audiobook,12-17,2023-10-01/P1M,6
E06000052,Physical audiobook,12-17,2023-12-01/P1M,3
E06000052,Physical audiobook,12-17,2024-01-01/P1M,1
E08000026,Physical book,Unknown,2023-04-01/P1M,42821
E08000026,Physical book,Unknown,2023-05-01/P1M,44591
E08000026,Physical book,Unknown,2023-06-01/P1M,39886
E08000026,Physical book,Unknown,2023-07-01/P1M,46182
E08000026,Physical book,Unknown,2023-08-01/P1M,54135
E08000026,Physical book,Unknown,2023-09-01/P1M,45028
E08000026,Physical book,Unknown,2023-10-01/P1M,46894
E08000026,Physical book,Unknown,2023-11-01/P1M,45934
E08000026,Physical book,Adult,2023-04-01/P1M,23147
E08000026,Physical book,Adult,2023-05-01/P1M,24591
E08000026,Physical book,Adult,2023-06-01/P1M,20966
E08000026,Physical book,Adult,2023-07-01/P1M,22177
E08000026,Physical book,Adult,2023-08-01/P1M,24441
E08000026,Physical book,Adult,2023-09-01/P1M,22489
E08000026,Physical book,Adult,2023-10-01/P1M,23685
E08000026,Physical book,Adult,2023-11-01/P1M,22582
E08000026,Physical book,Under 12,2023-04-01/P1M,18181
E08000026,Physical book,Under 12,2023-05-01/P1M,18321
E08000026,Physical book,Under 12,2023-06-01/P1M,17542
E08000026,Physical book,Under 12,2023-07-01/P1M,22298
E08000026,Physical book,Under 12,2023-08-01/P1M,27907
E08000026,Physical book,Under 12,2023-09-01/P1M,20848
E08000026,Physical book,Under 12,2023-10-01/P1M,21469
E08000026,Physical book,Under 12,2023-11-01/P1M,20833
E08000026,Physical book,12-17,2023-04-01/P1M,1028
E08000026,Physical book,12-17,2023-05-01/P1M,1025
E08000026,Physical book,12-17,2023-06-01/P1M,845
E08000026,Physical book,12-17,2023-07-01/P1M,1248
E08000026,Physical book,12-17,2023-08-01/P1M,1172
E08000026,Physical book,12-17,2023-09-01/P1M,1216
E08000026,Physical book,12-17,2023-10-01/P1M,1328
E08000026,Physical book,12-17,2023-11-01/P1M,1505
E08000026,Physical audiobook,Unknown,2023-04-01/P1M,465
E08000026,Physical audiobook,Unknown,2023-05-01/P1M,654
E08000026,Physical audiobook,Unknown,2023-06-01/P1M,533
E08000026,Physical audiobook,Unknown,2023-07-01/P1M,459
E08000026,Physical audiobook,Unknown,2023-08-01/P1M,615
E08000026,Physical audiobook,Unknown,2023-09-01/P1M,475
E08000026,Physical audiobook,Unknown,2023-10-01/P1M,412
E08000026,Physical audiobook,Unknown,2023-11-01/P1M,914
E08000026,Physical audiobook,Unknown,2023-04-01/P1M,4074
E08000026,Physical audiobook,Unknown,2023-05-01/P1M,4196
E08000026,Physical audiobook,Unknown,2023-06-01/P1M,3984
E08000026,Physical audiobook,Unknown,2023-07-01/P1M,4367
E08000026,Physical audiobook,Unknown,2023-08-01/P1M,4290
E08000026,Physical audiobook,Unknown,2023-09-01/P1M,4129
E08000026,Physical audiobook,Unknown,2023-10-01/P1M,4576
E08000026,Physical audiobook,Unknown,2023-11-01/P1M,3986
E08000026,Physical audiobook,Adult,2023-04-01/P1M,447
E08000026,Physical audiobook,Adult,2023-05-01/P1M,633
E08000026,Physical audiobook,Adult,2023-06-01/P1M,520
E08000026,Physical audiobook,Adult,2023-07-01/P1M,436
E08000026,Physical audiobook,Adult,2023-08-01/P1M,549
E08000026,Physical audiobook,Adult,2023-09-01/P1M,466
E08000026,Physical audiobook,Adult,2023-10-01/P1M,401
E08000026,Physical audiobook,Adult,2023-11-01/P1M,893
E08000026,Physical audiobook,Under 12,2023-04-01/P1M,17
E08000026,Physical audiobook,Under 12,2023-05-01/P1M,21
E08000026,Physical audiobook,Under 12,2023-06-01/P1M,13
E08000026,Physical audiobook,Under 12,2023-07-01/P1M,23
E08000026,Physical audiobook,Under 12,2023-08-01/P1M,66
E08000026,Physical audiobook,Under 12,2023-09-01/P1M,9
E08000026,Physical audiobook,Under 12,2023-10-01/P1M,11
E08000026,Physical audiobook,Under 12,2023-11-01/P1M,21
E08000026,Ebook,Unknown,2023-04-01/P1M,2151
E08000026,Ebook,Unknown,2023-05-01/P1M,2354
E08000026,Ebook,Unknown,2023-06-01/P1M,2246
E08000026,Ebook,Unknown,2023-07-01/P1M,2645
E08000026,Ebook,Unknown,2023-08-01/P1M,2818
E08000026,Ebook,Unknown,2023-09-01/P1M,2815
E08000026,Ebook,Unknown,2023-10-01/P1M,2676
E08000026,Ebook,Unknown,2023-11-01/P1M,2607
E06000063,Physical book,Adult,2023-04-01/P1M,22714
E06000063,Physical book,Adult,2023-05-01/P1M,23031
E06000063,Physical book,Adult,2023-06-01/P1M,23576
E06000063,Physical book,Adult,2023-07-01/P1M,26888
E06000063,Physical book,Adult,2023-08-01/P1M,26294
E06000063,Physical book,Adult,2023-09-01/P1M,24681
E06000063,Physical book,Adult,2023-10-01/P1M,25741
E06000063,Physical book,Adult,2023-11-01/P1M,25586
E06000063,Physical book,Adult,2023-12-01/P1M,22396
E06000063,Physical book,Adult,2024-01-01/P1M,26301
E06000063,Physical book,Adult,2024-02-01/P1M,24906
E06000063,Physical book,Adult,2024-03-01/P1M,25184
E06000063,Physical audiobook,Adult,2023-04-01/P1M,849
E06000063,Physical audiobook,Adult,2023-05-01/P1M,853
E06000063,Physical audiobook,Adult,2023-06-01/P1M,807
E06000063,Physical audiobook,Adult,2023-07-01/P1M,950
E06000063,Physical audiobook,Adult,2023-08-01/P1M,803
E06000063,Physical audiobook,Adult,2023-09-01/P1M,733
E06000063,Physical audiobook,Adult,2023-10-01/P1M,816
E06000063,Physical audiobook,Adult,2023-11-01/P1M,751
E06000063,Physical audiobook,Adult,2023-12-01/P1M,655
E06000063,Physical audiobook,Adult,2024-01-01/P1M,814
E06000063,Physical audiobook,Adult,2024-02-01/P1M,822
E06000063,Physical audiobook,Adult,2024-03-01/P1M,757
E06000063,Ebook,Unknown,2023-04-01/P1M,7167
E06000063,Ebook,Unknown,2023-05-01/P1M,7129
E06000063,Ebook,Unknown,2023-06-01/P1M,7030
E06000063,Ebook,Unknown,2023-07-01/P1M,7724
E06000063,Ebook,Unknown,2023-08-01/P1M,8225
E06000063,Ebook,Unknown,2023-09-01/P1M,7457
E06000063,Ebook,Unknown,2023-10-01/P1M,7622
E06000063,Ebook,Unknown,2023-11-01/P1M,7441
E06000063,Ebook,Unknown,2023-12-01/P1M,7486
E06000063,Ebook,Unknown,2024-01-01/P1M,7880
E06000063,Ebook,Unknown,2024-02-01/P1M,7551
E06000063,Ebook,Unknown,2024-03-01/P1M,7920
E06000063,Physical audiobook,Unknown,2023-04-01/P1M,9891
E06000063,Physical audiobook,Unknown,2023-05-01/P1M,10452
E06000063,Physical audiobook,Unknown,2023-06-01/P1M,10363
E06000063,Physical audiobook,Unknown,2023-07-01/P1M,11371
E06000063,Physical audiobook,Unknown,2023-08-01/P1M,11718
E06000063,Physical audiobook,Unknown,2023-09-01/P1M,11415
E06000063,Physical audiobook,Unknown,2023-10-01/P1M,12042
E06000063,Physical audiobook,Unknown,2023-11-01/P1M,11731
E06000063,Physical audiobook,Unknown,2023-12-01/P1M,11621
E06000063,Physical audiobook,Unknown,2024-01-01/P1M,12727
E06000063,Physical audiobook,Unknown,2024-02-01/P1M,11889
E06000063,Physical audiobook,Unknown,2024-03-01/P1M,12834
E06000005,Physical book,Adult,2023-04-01/P1M,6633
E06000005,Physical book,Adult,2023-05-01/P1M,7006
E06000005,Physical book,Adult,2023-06-01/P1M,6975
E06000005,Physical book,Adult,2023-07-01/P1M,7050
E06000005,Physical book,Adult,2023-08-01/P1M,7337
E06000005,Physical book,Adult,2023-09-01/P1M,13188
E06000005,Physical book,Adult,2023-10-01/P1M,9995
E06000005,Physical book,Adult,2023-11-01/P1M,9580
E06000005,Physical book,Adult,2023-12-01/P1M,8628
E06000005,Physical book,Adult,2024-01-01/P1M,10066
E06000005,Physical book,Adult,2024-02-01/P1M,9432
E06000005,Physical book,Adult,2024-03-01/P1M,9115
E06000005,Physical book,Under 12,2023-04-01/P1M,5756
E06000005,Physical book,Under 12,2023-05-01/P1M,4916
E06000005,Physical book,Under 12,2023-06-01/P1M,5543
E06000005,Physical book,Under 12,2023-07-01/P1M,5755
E06000005,Physical book,Under 12,2023-08-01/P1M,6811
E06000005,Physical book,Under 12,2023-09-01/P1M,11253
E06000005,Physical book,Under 12,2023-10-01/P1M,8539
E06000005,Physical book,Under 12,2023-11-01/P1M,6971
E06000005,Physical book,Under 12,2023-12-01/P1M,5925
E06000005,Physical book,Under 12,2024-01-01/P1M,8045
E06000005,Physical book,Under 12,2024-02-01/P1M,7298
E06000005,Physical book,Under 12,2024-03-01/P1M,7694
E06000005,Physical audiobook,Adult,2023-04-01/P1M,379
E06000005,Physical audiobook,Adult,2023-05-01/P1M,492
E06000005,Physical audiobook,Adult,2023-06-01/P1M,416
E06000005,Physical audiobook,Adult,2023-07-01/P1M,385
E06000005,Physical audiobook,Adult,2023-08-01/P1M,407
E06000005,Physical audiobook,Adult,2023-09-01/P1M,493
E06000005,Physical audiobook,Adult,2023-10-01/P1M,493
E06000005,Physical audiobook,Adult,2023-11-01/P1M,416
E06000005,Physical audiobook,Adult,2023-12-01/P1M,367
E06000005,Physical audiobook,Adult,2024-01-01/P1M,378
E06000005,Physical audiobook,Adult,2024-02-01/P1M,415
E06000005,Physical audiobook,Adult,2024-03-01/P1M,358
E06000005,Physical audiobook,Under 12,2023-04-01/P1M,17
E06000005,Physical audiobook,Under 12,2023-05-01/P1M,27
E06000005,Physical audiobook,Under 12,2023-06-01/P1M,19
E06000005,Physical audiobook,Under 12,2023-07-01/P1M,14
E06000005,Physical audiobook,Under 12,2023-08-01/P1M,20
E06000005,Physical audiobook,Under 12,2023-09-01/P1M,29
E06000005,Physical audiobook,Under 12,2023-10-01/P1M,27
E06000005,Physical audiobook,Under 12,2023-11-01/P1M,33
E06000005,Physical audiobook,Under 12,2023-12-01/P1M,25
E06000005,Physical audiobook,Under 12,2024-01-01/P1M,44
E06000005,Physical audiobook,Under 12,2024-02-01/P1M,41
E06000005,Physical audiobook,Under 12,2024-03-01/P1M,28
E06000005,Ebook,Unknown,2023-04-01/P1M,1188
E06000005,Ebook,Unknown,2023-05-01/P1M,1237
E06000005,Ebook,Unknown,2023-06-01/P1M,1207
E06000005,Ebook,Unknown,2023-07-01/P1M,1302
E06000005,Ebook,Unknown,2023-08-01/P1M,1447
E06000005,Ebook,Unknown,2023-09-01/P1M,1275
E06000005,Ebook,Unknown,2023-10-01/P1M,1308
E06000005,Ebook,Unknown,2023-11-01/P1M,1203
E06000005,Ebook,Unknown,2023-12-01/P1M,1259
E06000005,Ebook,Unknown,2024-01-01/P1M,1233
E06000005,Ebook,Unknown,2024-02-01/P1M,1473
E06000005,Ebook,Unknown,2024-03-01/P1M,1659
E06000005,Physical audiobook,Unknown,2023-04-01/P1M,1295
E06000005,Physical audiobook,Unknown,2023-05-01/P1M,1346
E06000005,Physical audiobook,Unknown,2023-06-01/P1M,1410
E06000005,Physical audiobook,Unknown,2023-07-01/P1M,1488
E06000005,Physical audiobook,Unknown,2023-08-01/P1M,1549
E06000005,Physical audiobook,Unknown,2023-09-01/P1M,1456
E06000005,Physical audiobook,Unknown,2023-10-01/P1M,1482
E06000005,Physical audiobook,Unknown,2023-11-01/P1M,1515
E06000005,Physical audiobook,Unknown,2023-12-01/P1M,1397
E06000005,Physical audiobook,Unknown,2024-01-01/P1M,1666
E06000005,Physical audiobook,Unknown,2024-02-01/P1M,1813
E06000005,Physical audiobook,Unknown,2024-03-01/P1M,1998
E06000015,Physical book,Adult,2023-04-01/P1M,18330
E06000015,Physical book,Adult,2023-05-01/P1M,19907
E06000015,Physical book,Adult,2023-06-01/P1M,20898
E06000015,Physical book,Adult,2023-07-01/P1M,20113
E06000015,Physical book,Adult,2023-08-01/P1M,22756
E06000015,Physical book,Adult,2023-09-01/P1M,23366
E06000015,Physical book,Adult,2023-10-01/P1M,20612
E06000015,Physical book,Adult,2023-11-01/P1M,20254
E06000015,Physical book,Adult,2023-12-01/P1M,16805
E06000015,Physical book,Adult,2024-01-01/P1M,18371
E06000015,Physical book,Adult,2024-02-01/P1M,18364
E06000015,Physical book,Adult,2024-03-01/P1M,18072
E06000015,Physical book,Under 12,2023-04-01/P1M,15398
E06000015,Physical book,Under 12,2023-05-01/P1M,13944
E06000015,Physical book,Under 12,2023-06-01/P1M,15050
E06000015,Physical book,Under 12,2023-07-01/P1M,18409
E06000015,Physical book,Under 12,2023-08-01/P1M,21686
E06000015,Physical book,Under 12,2023-09-01/P1M,14940
E06000015,Physical book,Under 12,2023-10-01/P1M,14931
E06000015,Physical book,Under 12,2023-11-01/P1M,14334
E06000015,Physical book,Under 12,2023-12-01/P1M,10442
E06000015,Physical book,Under 12,2024-01-01/P1M,13527
E06000015,Physical book,Under 12,2024-02-01/P1M,14738
E06000015,Physical book,Under 12,2024-03-01/P1M,13766
E06000015,Physical audiobook,Adult,2023-04-01/P1M,1463
E06000015,Physical audiobook,Adult,2023-05-01/P1M,1551
E06000015,Physical audiobook,Adult,2023-06-01/P1M,1759
E06000015,Physical audiobook,Adult,2023-07-01/P1M,1470
E06000015,Physical audiobook,Adult,2023-08-01/P1M,1809
E06000015,Physical audiobook,Adult,2023-09-01/P1M,2223
E06000015,Physical audiobook,Adult,2023-10-01/P1M,1523
E06000015,Physical audiobook,Adult,2023-11-01/P1M,1838
E06000015,Physical audiobook,Adult,2023-12-01/P1M,1594
E06000015,Physical audiobook,Adult,2024-01-01/P1M,1649
E06000015,Physical audiobook,Adult,2024-02-01/P1M,1735
E06000015,Physical audiobook,Adult,2024-03-01/P1M,1331
E06000015,Physical audiobook,Under 12,2023-04-01/P1M,142
E06000015,Physical audiobook,Under 12,2023-05-01/P1M,82
E06000015,Physical audiobook,Under 12,2023-06-01/P1M,82
E06000015,Physical audiobook,Under 12,2023-07-01/P1M,125
E06000015,Physical audiobook,Under 12,2023-08-01/P1M,193
E06000015,Physical audiobook,Under 12,2023-09-01/P1M,127
E06000015,Physical audiobook,Under 12,2023-10-01/P1M,84
E06000015,Physical audiobook,Under 12,2023-11-01/P1M,104
E06000015,Physical audiobook,Under 12,2023-12-01/P1M,90
E06000015,Physical audiobook,Under 12,2024-01-01/P1M,75
E06000015,Physical audiobook,Under 12,2024-02-01/P1M,104
E06000015,Physical audiobook,Under 12,2024-03-01/P1M,81
E06000015,Ebook,Unknown,2023-04-01/P1M,3208
E06000015,Ebook,Unknown,2023-05-01/P1M,3110
E06000015,Ebook,Unknown,2023-06-01/P1M,2932
E06000015,Ebook,Unknown,2023-07-01/P1M,3212
E06000015,Ebook,Unknown,2023-08-01/P1M,3172
E06000015,Ebook,Unknown,2023-09-01/P1M,2837
E06000015,Ebook,Unknown,2023-10-01/P1M,2716
E06000015,Ebook,Unknown,2023-11-01/P1M,2443
E06000015,Ebook,Unknown,2023-12-01/P1M,2483
E06000015,Ebook,Unknown,2024-01-01/P1M,2678
E06000015,Ebook,Unknown,2024-02-01/P1M,2534
E06000015,Ebook,Unknown,2024-03-01/P1M,2518
E06000015,Physical audiobook,Unknown,2023-04-01/P1M,4249
E06000015,Physical audiobook,Unknown,2023-05-01/P1M,4376
E06000015,Physical audiobook,Unknown,2023-06-01/P1M,4206
E06000015,Physical audiobook,Unknown,2023-07-01/P1M,4512
E06000015,Physical audiobook,Unknown,2023-08-01/P1M,4916
E06000015,Physical audiobook,Unknown,2023-09-01/P1M,4605
E06000015,Physical audiobook,Unknown,2023-10-01/P1M,4599
E06000015,Physical audiobook,Unknown,2023-11-01/P1M,4622
E06000015,Physical audiobook,Unknown,2023-12-01/P1M,4168
E06000015,Physical audiobook,Unknown,2024-01-01/P1M,4615
E06000015,Physical audiobook,Unknown,2024-02-01/P1M,4394
E06000015,Physical audiobook,Unknown,2024-03-01/P1M,4302
E10000007,Physical book,Adult,2023-04-01/P1M,82761
E10000007,Physical book,Adult,2023-05-01/P1M,86528
E10000007,Physical book,Adult,2023-06-01/P1M,84777
E10000007,Physical book,Adult,2023-07-01/P1M,86023
E10000007,Physical book,Adult,2023-08-01/P1M,93275
E10000007,Physical book,Adult,2023-09-01/P1M,87763
E10000007,Physical book,Adult,2023-10-01/P1M,89567
E10000007,Physical book,Adult,2023-11-01/P1M,84744
E10000007,Physical book,Adult,2023-12-01/P1M,76805
E10000007,Physical book,Adult,2024-01-01/P1M,86697
E10000007,Physical book,Adult,2024-02-01/P1M,83573
E10000007,Physical book,Adult,2024-03-01/P1M,84466
E10000007,Physical book,Under 12,2023-04-01/P1M,61109
E10000007,Physical book,Under 12,2023-05-01/P1M,56080
E10000007,Physical book,Under 12,2023-06-01/P1M,55033
E10000007,Physical book,Under 12,2023-07-01/P1M,77390
E10000007,Physical book,Under 12,2023-08-01/P1M,82585
E10000007,Physical book,Under 12,2023-09-01/P1M,63822
E10000007,Physical book,Under 12,2023-10-01/P1M,62024
E10000007,Physical book,Under 12,2023-11-01/P1M,57142
E10000007,Physical book,Under 12,2023-12-01/P1M,42710
E10000007,Physical book,Under 12,2024-01-01/P1M,55905
E10000007,Physical book,Under 12,2024-02-01/P1M,59636
E10000007,Physical book,Under 12,2024-03-01/P1M,58636
E10000007,Physical book,12-17,2023-04-01/P1M,1292
E10000007,Physical book,12-17,2023-05-01/P1M,1237
E10000007,Physical book,12-17,2023-06-01/P1M,1197
E10000007,Physical book,12-17,2023-07-01/P1M,1488
E10000007,Physical book,12-17,2023-08-01/P1M,1702
E10000007,Physical book,12-17,2023-09-01/P1M,1235
E10000007,Physical book,12-17,2023-10-01/P1M,1170
E10000007,Physical book,12-17,2023-11-01/P1M,1091
E10000007,Physical book,12-17,2023-12-01/P1M,995
E10000007,Physical book,12-17,2024-01-01/P1M,1080
E10000007,Physical book,12-17,2024-02-01/P1M,1171
E10000007,Physical book,12-17,2024-03-01/P1M,1107
E10000007,Physical audiobook,Adult,2023-04-01/P1M,2546
E10000007,Physical audiobook,Adult,2023-05-01/P1M,2724
E10000007,Physical audiobook,Adult,2023-06-01/P1M,2590
E10000007,Physical audiobook,Adult,2023-07-01/P1M,2377
E10000007,Physical audiobook,Adult,2023-08-01/P1M,3041
E10000007,Physical audiobook,Adult,2023-09-01/P1M,2713
E10000007,Physical audiobook,Adult,2023-10-01/P1M,2907
E10000007,Physical audiobook,Adult,2023-11-01/P1M,2794
E10000007,Physical audiobook,Adult,2023-12-01/P1M,2208
E10000007,Physical audiobook,Adult,2024-01-01/P1M,2750
E10000007,Physical audiobook,Adult,2024-02-01/P1M,2486
E10000007,Physical audiobook,Adult,2024-03-01/P1M,2445
E10000007,Physical audiobook,Under 12,2023-04-01/P1M,247
E10000007,Physical audiobook,Under 12,2023-05-01/P1M,257
E10000007,Physical audiobook,Under 12,2023-06-01/P1M,189
E10000007,Physical audiobook,Under 12,2023-07-01/P1M,332
E10000007,Physical audiobook,Under 12,2023-08-01/P1M,320
E10000007,Physical audiobook,Under 12,2023-09-01/P1M,240
E10000007,Physical audiobook,Under 12,2023-10-01/P1M,255
E10000007,Physical audiobook,Under 12,2023-11-01/P1M,200
E10000007,Physical audiobook,Under 12,2023-12-01/P1M,156
E10000007,Physical audiobook,Under 12,2024-01-01/P1M,227
E10000007,Physical audiobook,Under 12,2024-02-01/P1M,232
E10000007,Physical audiobook,Under 12,2024-03-01/P1M,181
E10000007,Physical audiobook,12-17,2023-04-01/P1M,4
E10000007,Physical audiobook,12-17,2023-05-01/P1M,5
E10000007,Physical audiobook,12-17,2023-06-01/P1M,8
E10000007,Physical audiobook,12-17,2023-07-01/P1M,4
E10000007,Physical audiobook,12-17,2023-08-01/P1M,7
E10000007,Physical audiobook,12-17,2023-09-01/P1M,4
E10000007,Physical audiobook,12-17,2023-10-01/P1M,10
E10000007,Physical audiobook,12-17,2023-11-01/P1M,6
E10000007,Physical audiobook,12-17,2023-12-01/P1M,5
E10000007,Physical audiobook,12-17,2024-01-01/P1M,3
E10000007,Physical audiobook,12-17,2024-02-01/P1M,4
E10000007,Physical audiobook,12-17,2024-03-01/P1M,3
E10000007,Ebook,Adult,2023-04-01/P1M,9639
E10000007,Ebook,Adult,2023-05-01/P1M,9676
E10000007,Ebook,Adult,2023-06-01/P1M,9170
E10000007,Ebook,Adult,2023-07-01/P1M,9553
E10000007,Ebook,Adult,2023-08-01/P1M,10075
E10000007,Ebook,Adult,2023-09-01/P1M,9379
E10000007,Ebook,Adult,2023-10-01/P1M,9472
E10000007,Ebook,Adult,2023-11-01/P1M,9042
E10000007,Ebook,Adult,2023-12-01/P1M,9328
E10000007,Ebook,Adult,2024-01-01/P1M,9967
E10000007,Ebook,Adult,2024-02-01/P1M,8987
E10000007,Ebook,Adult,2024-03-01/P1M,9549
E10000007,Ebook,Under 12,2023-04-01/P1M,569
E10000007,Ebook,Under 12,2023-05-01/P1M,571
E10000007,Ebook,Under 12,2023-06-01/P1M,482
E10000007,Ebook,Under 12,2023-07-01/P1M,647
E10000007,Ebook,Under 12,2023-08-01/P1M,638
E10000007,Ebook,Under 12,2023-09-01/P1M,539
E10000007,Ebook,Under 12,2023-10-01/P1M,572
E10000007,Ebook,Under 12,2023-11-01/P1M,493
E10000007,Ebook,Under 12,2023-12-01/P1M,498
E10000007,Ebook,Under 12,2024-01-01/P1M,510
E10000007,Ebook,Under 12,2024-02-01/P1M,603
E10000007,Ebook,Under 12,2024-03-01/P1M,662
E10000007,Ebook,12-17,2023-04-01/P1M,461
E10000007,Ebook,12-17,2023-05-01/P1M,470
E10000007,Ebook,12-17,2023-06-01/P1M,483
E10000007,Ebook,12-17,2023-07-01/P1M,464
E10000007,Ebook,12-17,2023-08-01/P1M,482
E10000007,Ebook,12-17,2023-09-01/P1M,407
E10000007,Ebook,12-17,2023-10-01/P1M,377
E10000007,Ebook,12-17,2023-11-01/P1M,364
E10000007,Ebook,12-17,2023-12-01/P1M,402
E10000007,Ebook,12-17,2024-01-01/P1M,419
E10000007,Ebook,12-17,2024-02-01/P1M,470
E10000007,Ebook,12-17,2024-03-01/P1M,422
E10000007,Eaudio,Adult,2023-04-01/P1M,12963
E10000007,Eaudio,Adult,2023-05-01/P1M,13155
E10000007,Eaudio,Adult,2023-06-01/P1M,12324
E10000007,Eaudio,Adult,2023-07-01/P1M,13028
E10000007,Eaudio,Adult,2023-08-01/P1M,13730
E10000007,Eaudio,Adult,2023-09-01/P1M,12998
E10000007,Eaudio,Adult,2023-10-01/P1M,12979
E10000007,Eaudio,Adult,2023-11-01/P1M,12420
E10000007,Eaudio,Adult,2023-12-01/P1M,12491
E10000007,Eaudio,Adult,2024-01-01/P1M,13687
E10000007,Eaudio,Adult,2024-02-01/P1M,12790
E10000007,Eaudio,Adult,2024-03-01/P1M,13503
E10000007,Eaudio,Under 12,2023-04-01/P1M,898
E10000007,Eaudio,Under 12,2023-05-01/P1M,845
E10000007,Eaudio,Under 12,2023-06-01/P1M,729
E10000007,Eaudio,Under 12,2023-07-01/P1M,995
E10000007,Eaudio,Under 12,2023-08-01/P1M,1005
E10000007,Eaudio,Under 12,2023-09-01/P1M,822
E10000007,Eaudio,Under 12,2023-10-01/P1M,878
E10000007,Eaudio,Under 12,2023-11-01/P1M,750
E10000007,Eaudio,Under 12,2023-12-01/P1M,785
E10000007,Eaudio,Under 12,2024-01-01/P1M,820
E10000007,Eaudio,Under 12,2024-02-01/P1M,901
E10000007,Eaudio,Under 12,2024-03-01/P1M,997
E10000007,Eaudio,12-17,2023-04-01/P1M,529
E10000007,Eaudio,12-17,2023-05-01/P1M,522
E10000007,Eaudio,12-17,2023-06-01/P1M,543
E10000007,Eaudio,12-17,2023-07-01/P1M,533
E10000007,Eaudio,12-17,2023-08-01/P1M,544
E10000007,Eaudio,12-17,2023-09-01/P1M,465
E10000007,Eaudio,12-17,2023-10-01/P1M,448
E10000007,Eaudio,12-17,2023-11-01/P1M,434
E10000007,Eaudio,12-17,2023-12-01/P1M,458
E10000007,Eaudio,12-17,2024-01-01/P1M,488
E10000007,Eaudio,12-17,2024-02-01/P1M,548
E10000007,Eaudio,12-17,2024-03-01/P1M,506
E10000008,Physical book,Adult,2023-04-01/P1M,85938
E10000008,Physical book,Adult,2023-05-01/P1M,88283
E10000008,Physical book,Adult,2023-06-01/P1M,90089
E10000008,Physical book,Adult,2023-07-01/P1M,93647
E10000008,Physical book,Adult,2023-08-01/P1M,97501
E10000008,Physical book,Adult,2023-09-01/P1M,93248
E10000008,Physical book,Adult,2023-10-01/P1M,92127
E10000008,Physical book,Adult,2023-11-01/P1M,88457
E10000008,Physical book,Adult,2023-12-01/P1M,73495
E10000008,Physical book,Adult,2024-01-01/P1M,95419
E10000008,Physical book,Adult,2024-02-01/P1M,85103
E10000008,Physical book,Adult,2024-03-01/P1M,85473
E10000008,Physical book,Under 12,2023-04-01/P1M,65547
E10000008,Physical book,Under 12,2023-05-01/P1M,57661
E10000008,Physical book,Under 12,2023-06-01/P1M,59575
E10000008,Physical book,Under 12,2023-07-01/P1M,96830
E10000008,Physical book,Under 12,2023-08-01/P1M,101734
E10000008,Physical book,Under 12,2023-09-01/P1M,72677
E10000008,Physical book,Under 12,2023-10-01/P1M,71062
E10000008,Physical book,Under 12,2023-11-01/P1M,62998
E10000008,Physical book,Under 12,2023-12-01/P1M,46414
E10000008,Physical book,Under 12,2024-01-01/P1M,65386
E10000008,Physical book,Under 12,2024-02-01/P1M,64721
E10000008,Physical book,Under 12,2024-03-01/P1M,65876
E10000008,Physical book,12-17,2023-04-01/P1M,2927
E10000008,Physical book,12-17,2023-05-01/P1M,2714
E10000008,Physical book,12-17,2023-06-01/P1M,2782
E10000008,Physical book,12-17,2023-07-01/P1M,4068
E10000008,Physical book,12-17,2023-08-01/P1M,4518
E10000008,Physical book,12-17,2023-09-01/P1M,3586
E10000008,Physical book,12-17,2023-10-01/P1M,3243
E10000008,Physical book,12-17,2023-11-01/P1M,2598
E10000008,Physical book,12-17,2023-12-01/P1M,2279
E10000008,Physical book,12-17,2024-01-01/P1M,2853
E10000008,Physical book,12-17,2024-02-01/P1M,2854
E10000008,Physical book,12-17,2024-03-01/P1M,3017
E10000008,Physical audiobook,Adult,2023-04-01/P1M,1943
E10000008,Physical audiobook,Adult,2023-05-01/P1M,1886
E10000008,Physical audiobook,Adult,2023-06-01/P1M,2046
E10000008,Physical audiobook,Adult,2023-07-01/P1M,2225
E10000008,Physical audiobook,Adult,2023-08-01/P1M,2201
E10000008,Physical audiobook,Adult,2023-09-01/P1M,2103
E10000008,Physical audiobook,Adult,2023-10-01/P1M,2152
E10000008,Physical audiobook,Adult,2023-11-01/P1M,2126
E10000008,Physical audiobook,Adult,2023-12-01/P1M,1766
E10000008,Physical audiobook,Adult,2024-01-01/P1M,2312
E10000008,Physical audiobook,Adult,2024-02-01/P1M,2192
E10000008,Physical audiobook,Adult,2024-03-01/P1M,2124
E10000008,Physical audiobook,Under 12,2023-04-01/P1M,702
E10000008,Physical audiobook,Under 12,2023-05-01/P1M,647
E10000008,Physical audiobook,Under 12,2023-06-01/P1M,586
E10000008,Physical audiobook,Under 12,2023-07-01/P1M,936
E10000008,Physical audiobook,Under 12,2023-08-01/P1M,1055
E10000008,Physical audiobook,Under 12,2023-09-01/P1M,784
E10000008,Physical audiobook,Under 12,2023-10-01/P1M,762
E10000008,Physical audiobook,Under 12,2023-11-01/P1M,583
E10000008,Physical audiobook,Under 12,2023-12-01/P1M,479
E10000008,Physical audiobook,Under 12,2024-01-01/P1M,604
E10000008,Physical audiobook,Under 12,2024-02-01/P1M,592
E10000008,Physical audiobook,Under 12,2024-03-01/P1M,645
E10000008,Ebook,Unknown,2023-04-01/P1M,17952
E10000008,Ebook,Unknown,2023-05-01/P1M,17867
E10000008,Ebook,Unknown,2023-06-01/P1M,17440
