Authority,Format,Content age group,Period,Count
E08000016,Physical audiobook,Under 12,2023-08-01/P1M,5
E08000016,Physical audiobook,Under 12,2023-09-01/P1M,4
E08000016,Physical audiobook,Under 12,2023-10-01/P1M,2
E08000016,Physical audiobook,Under 12,2023-11-01/P1M,1
E08000016,Physical audiobook,Under 12,2024-01-01/P1M,1
E08000016,Physical audiobook,Under 12,2024-02-01/P1M,1
E08000016,Ebook,Adult,2023-04-01/P1M,1640
E08000016,Ebook,Adult,2023-05-01/P1M,1564
E08000016,Ebook,Adult,2023-06-01/P1M,1439
E08000016,Ebook,Adult,2023-07-01/P1M,1518
E08000016,Ebook,Adult,2023-08-01/P1M,1530
E08000016,Ebook,Adult,2023-09-01/P1M,1452
E08000016,Ebook,Adult,2023-10-01/P1M,1508
E08000016,Ebook,Adult,2023-11-01/P1M,1422
E08000016,Ebook,Adult,2023-12-01/P1M,1399
E08000016,Ebook,Adult,2024-01-01/P1M,1608
E08000016,Ebook,Adult,2024-02-01/P1M,1619
E08000016,Ebook,Adult,2024-03-01/P1M,1617
E08000016,Ebook,Under 12,2023-04-01/P1M,62
E08000016,Ebook,Under 12,2023-05-01/P1M,45
E08000016,Ebook,Under 12,2023-06-01/P1M,56
E08000016,Ebook,Under 12,2023-07-01/P1M,67
E08000016,Ebook,Under 12,2023-08-01/P1M,69
E08000016,Ebook,Under 12,2023-09-01/P1M,83
E08000016,Ebook,Under 12,2023-10-01/P1M,65
E08000016,Ebook,Under 12,2023-11-01/P1M,63
E08000016,Ebook,Under 12,2023-12-01/P1M,63
E08000016,Ebook,Under 12,2024-01-01/P1M,79
E08000016,Ebook,Under 12,2024-02-01/P1M,78
E08000016,Ebook,Under 12,2024-03-01/P1M,84
E08000016,Ebook,12-17,2023-04-01/P1M,69
E08000016,Ebook,12-17,2023-05-01/P1M,79
E08000016,Ebook,12-17,2023-06-01/P1M,85
E08000016,Ebook,12-17,2023-07-01/P1M,99
E08000016,Ebook,12-17,2023-08-01/P1M,134
E08000016,Ebook,12-17,2023-09-01/P1M,124
E08000016,Ebook,12-17,2023-10-01/P1M,119
E08000016,Ebook,12-17,2023-11-01/P1M,124
E08000016,Ebook,12-17,2023-12-01/P1M,120
E08000016,Ebook,12-17,2024-01-01/P1M,134
E08000016,Ebook,12-17,2024-02-01/P1M,124
E08000016,Ebook,12-17,2024-03-01/P1M,130
E08000016,Eaudio,Adult,2023-04-01/P1M,800
E08000016,Eaudio,Adult,2023-05-01/P1M,819
E08000016,Eaudio,Adult,2023-06-01/P1M,734
E08000016,Eaudio,Adult,2023-07-01/P1M,727
E08000016,Eaudio,Adult,2023-08-01/P1M,791
E08000016,Eaudio,Adult,2023-09-01/P1M,722
E08000016,Eaudio,Adult,2023-10-01/P1M,762
E08000016,Eaudio,Adult,2023-11-01/P1M,655
E08000016,Eaudio,Adult,2023-12-01/P1M,639
E08000016,Eaudio,Adult,2024-01-01/P1M,745
E08000016,Eaudio,Adult,2024-02-01/P1M,774
E08000016,Eaudio,Adult,2024-03-01/P1M,810
E08000016,Eaudio,Under 12,2023-04-01/P1M,77
E08000016,Eaudio,Under 12,2023-05-01/P1M,74
E08000016,Eaudio,Under 12,2023-06-01/P1M,72
E08000016,Eaudio,Under 12,2023-07-01/P1M,92
E08000016,Eaudio,Under 12,2023-08-01/P1M,99
E08000016,Eaudio,Under 12,2023-09-01/P1M,87
E08000016,Eaudio,Under 12,2023-10-01/P1M,69
E08000016,Eaudio,Under 12,2023-11-01/P1M,84
E08000016,Eaudio,Under 12,2023-12-01/P1M,76
E08000016,Eaudio,Under 12,2024-01-01/P1M,88
