Authority code,Authority nice name,Library service,Period,Users,Events,Attendance,Loans,Visits,Computer hours,Wifi sessions,Population under 12,Population 12-17,Population adult,Nearest neighbour 1,Nearest neighbour 2,Nearest neighbour 3,Nearest neighbour 4,Nearest neighbour 5
E09000015,Harrow,Harrow,2023/2024,34260,2134,42571,707168,461101,284481,97155,39736,20716,210272,E09000017,E09000009,E09000018,E09000026,E09000024
E06000001,Hartlepool,Hartlepool,2023/2024,3496,,14361,116265,359817,9090,,13469,7621,77090,E08000018,E06000003,E08000011,E08000024,E08000017
E06000019,Herefordshire,Herefordshire,2023/2024,18119,1041,10865,335534,255181,9116,,21909,12530,156608,E06000066,E06000059,E10000029,E06000051,E10000013
E10000015,Hertfordshire,Hertfordshire County Council,2023/2024,66926,,,6442193,2708578,138135,,178620,98860,958711,E10000012,E06000060,E10000016,E08000009,E06000007
E06000010,Kingston upon Hull,Hull Libraries Hull Culture & Leisure Ltd,2023/2024,17309,111,,302343,512334,7151,,40996,21383,213022,E06000021,E08000024,E08000036,E08000017,E06000026
E06000046,Isle of Wight,Isle Of Wight,2023/2024,11106,2511,20230,342961,402090,,,14589,8762,118309,E06000027,E06000066,E06000059,E10000011,E10000034
E09000019,Islington,Islington Library Service,2023/2024,22190,,57208,2783072,836949,69626,,23920,11704,187400,E09000012,E09000028,E09000022,E09000013,E09000007
E09000020,Kensington and Chelsea,Kensington & Chelsea,2023/2024,17210,,,361943,594829,41471,,15243,7312,121963,E09000033,E09000007,E09000013,E09000028,E09000019
E10000016,Kent,Kent,2023/2024,187116,15438,193575,4032148,3100468,171052,96628,228508,126882,1283639,E10000012,E06000024,E10000029,E10000020,E10000032
E09000021,Kingston upon Thames,Kingston Upon Thames,2023/2024,15939,1881,34884,731695,329344,24271,,23751,13370,135571,E09000029,E09000024,E09000027,E08000009,E09000006
E08000034,Kirklees,Kirklees Libraries,2023/2024,27270,,118267,917550,843136,52211,,64235,35587,348025,E08000008,E08000032,E08000013,E08000015,E08000002
E08000011,Knowsley,Knowsley Library Service,2023/2024,6596,2967,37829,149224,187860,18835,13386,24395,11644,126526,E08000036,E08000005,E08000024,E08000013,E08000018
E09000022,Lambeth,Lambeth Libraries,2023/2024,57275,,,,,,,33604,17850,265466,E09000013,E09000028,E09000019,E09000011,E09000012
E10000017,Lancashire,Lancashire,2023/2024,112302,,,4524114,2622563,231470,,167438,93954,1033522,E10000007,E10000028,E06000066,E10000034,E10000024
E06000016,Leicester,Leicester City Libraries,2023/2024,59427,6362,25029,681805,1134494,86136,74049,59060,31703,297585,E08000025,E08000031,E08000032,E08000028,E06000008
E10000018,Leicestershire,Leicestershire Libraries,2023/2024,53096,,,1675004,615060,62929,16833,94770,52669,598134,E10000031,E10000013,E10000032,E10000034,E06000056
E09000023,Lewisham,Lewisham,2023/2024,19187,,,811638,1215813,34113,55024,41594,20458,239203,E09000011,E09000029,E09000024,E09000031,E09000021
E10000019,Lincolnshire,Lincolnshire,2023/2024,43553,,,1851679,1032974,72657,38285,93958,53996,641548,E06000066,E06000020,E10000029,E10000024,E10000007
E09000002,Barking and Dagenham,London Borough Of Barking & Dagenham,2023/2024,8604,4512,59516,257364,786221,22580,,44071,22394,166282,E06000032,E09000025,E08000028,E09000015,E08000006
E09000003,Barnet,London Borough Of Barnet,2023/2024,34487,2084,44271,1167317,834261,63182,112943,61102,32749,311199,E09000031,E09000005,E09000008,E09000014,E09000004
E09000004,Bexley,London Borough Of Bexley,2023/2024,28809,,,,,,,38137,20587,197710,E09000016,E10000015,E06000035,E06000007,E10000012
E09000007,Camden,London Borough Of Camden,2023/2024,11658,2586,25203,269389,702963,144792,178344,22922,12354,181667,E09000013,E09000020,E09000019,E09000033,E09000022
E09000009,Ealing,London Borough Of Ealing,2023/2024,44796,,,593164,596233,,,53523,28837,303625,E09000008,E09000024,E09000015,E09000014,E09000023
E09000017,Hillingdon,London Borough Of Hillingdon,2023/2024,34277,6599,90354,876334,1081269,,,50546,24978,253661,E09000026,E09000015,E09000018,E09000010,E08000026
E09000018,Hounslow,London Borough Of Hounslow Library Service,2023/2024,29908,801,7161,598709,715803,205946,,44243,23311,231870,E06000038,E09000011,E09000015,E09000017,E09000024
E09000027,Richmond upon Thames,London Borough Of Richmond Upon Thames,2023/2024,28941,2572,26170,1091857,909144,49374,,28009,16029,152640,E09000021,E06000040,E08000009,E09000006,E10000030
E09000029,Sutton,London Borough Of Sutton,2023/2024,35260,2549,60530,860992,5184126,,,32464,18390,163671,E09000021,E09000006,E10000015,E09000023,E09000016
E06000032,Luton,Luton Libraries,2023/2024,12570,,,38876,326905,35195,,41835,20445,176810,E08000031,E09000002,E09000010,E08000028,E08000026
E08000003,Manchester,Manchester Libraries,2023/2024,92663,,146847,1153283,2829076,313036,518726,86399,45432,457839,E08000006,E06000018,E06000045,E08000025,E08000012
E09000024,Merton,Merton Libraries,2023/2024,,7772,99456,473134,928831,93303,24076,31336,15863,171340,E09000021,E09000006,E09000023,E09000009,E09000011
E06000002,Middlesbrough,Middlesbrough,2023/2024,2710,,,139917,,,,23692,11925,120544,E06000018,E08000012,E08000025,E08000030,E08000032
E08000021,Newcastle upon Tyne,Newcastle Libraries,2023/2024,14225,,,489418,552037,,,40717,20489,259399,E08000035,E08000022,E06000023,E08000026,E06000044
E09000025,Newham,Newham,2023/2024,65909,,,1066002,1302945,144464,79622,57032,27376,290115,E09000002,E06000032,E09000026,E09000017,E09000010
E10000020,Norfolk,Norfolk Library & Information Service,2023/2024,144487,,,5309377,2278553,181321,,109793,62037,768529,E10000029,E06000066,E10000032,E10000016,E10000011
E06000012,North East Lincolnshire,North East Lincolnshire,2023/2024,8925,508,9777,192616,147063,59181,,21482,12040,126389,E06000026,E06000006,E08000017,E06000010,E08000024
E06000013,North Lincolnshire,North Lincolnshire Council,2023/2024,11318,387,3552,214908,330145,9665,,22031,12644,136661,E10000007,E06000012,E06000006,E06000004,E10000019
E06000024,North Somerset,North Somerset,2023/2024,27658,3389,31820,731936,435143,29829,,28238,16122,180218,E10000016,E06000066,E06000049,E06000062,E08000029
E08000022,North Tyneside,North Tyneside,2023/2024,20699,2348,40043,426457,910228,51539,29666,27284,14979,172762,E08000015,E08000037,E08000035,E08000021,E08000007
E06000065,North Yorkshire,North Yorkshire Libraries,2023/2024,58510,9187,,2449965,1761827,102111,661573,72119,43602,519549,E06000057,E06000063,E06000064,E10000008,E06000047
E06000057,Northumberland,Northumberland Libraries,2023/2024,20130,1978,31841,597731,,24088,,37335,21721,272364,E06000065,E06000047,E06000063,E06000064,E10000008
E06000018,Nottingham,Nottingham City Council,2023/2024,38053,4545,71891,477188,551245,79928,,45420,23294,262363,E08000012,E08000025,E08000006,E06000009,E08000032
E10000024,Nottinghamshire,Nottinghamshire,2023/2024,108627,,,2380886,1806535,123865,122620,110565,61007,685441,E10000007,E08000010,E06000035,E08000027,E10000012
