Authority,Event type,Age group,Month,Count
Cornwall,Digital,Under 12,2023-04,
Cornwall,Digital,Under 12,2023-05,
Cornwall,Digital,Under 12,2023-06,
Cornwall,Digital,Under 12,2023-07,
Cornwall,Digital,Under 12,2023-08,
Cornwall,Digital,Under 12,2023-09,
Cornwall,Digital,Under 12,2023-10,
Cornwall,Digital,Under 12,2023-11,
Cornwall,Digital,Under 12,2023-12,
Cornwall,Digital,Under 12,2024-01,
Cornwall,Digital,Under 12,2024-02,
Cornwall,Digital,Under 12,2024-03,
Cornwall,Digital,12-17,2023-04,
Cornwall,Digital,12-17,2023-05,
Cornwall,Digital,12-17,2023-06,
Cornwall,Digital,12-17,2023-07,
Cornwall,Digital,12-17,2023-08,
Cornwall,Digital,12-17,2023-09,
Cornwall,Digital,12-17,2023-10,
Cornwall,Digital,12-17,2023-11,
Cornwall,Digital,12-17,2023-12,
Cornwall,Digital,12-17,2024-01,
Cornwall,Digital,12-17,2024-02,
Cornwall,Digital,12-17,2024-03,
Cornwall,Digital,All Ages,2023-04,
Cornwall,Digital,All Ages,2023-05,
Cornwall,Digital,All Ages,2023-06,
Cornwall,Digital,All Ages,2023-07,
Cornwall,Digital,All Ages,2023-08,
Cornwall,Digital,All Ages,2023-09,
Cornwall,Digital,All Ages,2023-10,
Cornwall,Digital,All Ages,2023-11,
Cornwall,Digital,All Ages,2023-12,
Cornwall,Digital,All Ages,2024-01,
Cornwall,Digital,All Ages,2024-02,
Cornwall,Digital,All Ages,2024-03,
Coventry,Physical,Adults,2023-04,
Coventry,Physical,Adults,2023-05,
Coventry,Physical,Adults,2023-06,
Coventry,Physical,Adults,2023-07,
Coventry,Physical,Adults,2023-08,
Coventry,Physical,Adults,2023-09,
Coventry,Physical,Adults,2023-10,
Coventry,Physical,Adults,2023-11,
Coventry,Physical,Adults,2023-12,
Coventry,Physical,Adults,2024-01,
Coventry,Physical,Adults,2024-02,
Coventry,Physical,Adults,2024-03,
Coventry,Physical,Under 12,2023-04,
Coventry,Physical,Under 12,2023-05,
Coventry,Physical,Under 12,2023-06,
Coventry,Physical,Under 12,2023-07,
Coventry,Physical,Under 12,2023-08,
Coventry,Physical,Under 12,2023-09,
Coventry,Physical,Under 12,2023-10,
Coventry,Physical,Under 12,2023-11,
Coventry,Physical,Under 12,2023-12,
Coventry,Physical,Under 12,2024-01,
Coventry,Physical,Under 12,2024-02,
Coventry,Physical,Under 12,2024-03,
Coventry,Physical,12-17,2023-04,
Coventry,Physical,12-17,2023-05,
Coventry,Physical,12-17,2023-06,
Coventry,Physical,12-17,2023-07,
Coventry,Physical,12-17,2023-08,
Coventry,Physical,12-17,2023-09,
Coventry,Physical,12-17,2023-10,
Coventry,Physical,12-17,2023-11,
Coventry,Physical,12-17,2023-12,
Coventry,Physical,12-17,2024-01,
Coventry,Physical,12-17,2024-02,
Coventry,Physical,12-17,2024-03,
Coventry,Physical,All Ages,2023-04,
Coventry,Physical,All Ages,2023-05,
Coventry,Physical,All Ages,2023-06,
Coventry,Physical,All Ages,2023-07,
Coventry,Physical,All Ages,2023-08,
Coventry,Physical,All Ages,2023-09,
Coventry,Physical,All Ages,2023-10,
Coventry,Physical,All Ages,2023-11,
Coventry,Physical,All Ages,2023-12,
Coventry,Physical,All Ages,2024-01,
Coventry,Physical,All Ages,2024-02,
Coventry,Physical,All Ages,2024-03,
Coventry,Digital,Adults,2023-04,
Coventry,Digital,Adults,2023-05,
Coventry,Digital,Adults,2023-06,
Coventry,Digital,Adults,2023-07,
Coventry,Digital,Adults,2023-08,
Coventry,Digital,Adults,2023-09,
Coventry,Digital,Adults,2023-10,
Coventry,Digital,Adults,2023-11,
Coventry,Digital,Adults,2023-12,
Coventry,Digital,Adults,2024-01,
Coventry,Digital,Adults,2024-02,
Coventry,Digital,Adults,2024-03,
Coventry,Digital,Under 12,2023-04,
Coventry,Digital,Under 12,2023-05,
Coventry,Digital,Under 12,2023-06,
Coventry,Digital,Under 12,2023-07,
Coventry,Digital,Under 12,2023-08,
Coventry,Digital,Under 12,2023-09,
Coventry,Digital,Under 12,2023-10,
Coventry,Digital,Under 12,2023-11,
Coventry,Digital,Under 12,2023-12,
Coventry,Digital,Under 12,2024-01,
Coventry,Digital,Under 12,2024-02,
Coventry,Digital,Under 12,2024-03,
Coventry,Digital,12-17,2023-04,
Coventry,Digital,12-17,2023-05,
Coventry,Digital,12-17,2023-06,
Coventry,Digital,12-17,2023-07,
Coventry,Digital,12-17,2023-08,
Coventry,Digital,12-17,2023-09,
Coventry,Digital,12-17,2023-10,
Coventry,Digital,12-17,2023-11,
Coventry,Digital,12-17,2023-12,
Coventry,Digital,12-17,2024-01,
Coventry,Digital,12-17,2024-02,
Coventry,Digital,12-17,2024-03,
Coventry,Digital,All Ages,2023-04,
Coventry,Digital,All Ages,2023-05,
Coventry,Digital,All Ages,2023-06,
Coventry,Digital,All Ages,2023-07,
Coventry,Digital,All Ages,2023-08,
Coventry,Digital,All Ages,2023-09,
Coventry,Digital,All Ages,2023-10,
Coventry,Digital,All Ages,2023-11,
Coventry,Digital,All Ages,2023-12,
Coventry,Digital,All Ages,2024-01,
Coventry,Digital,All Ages,2024-02,
Coventry,Digital,All Ages,2024-03,
Cumberland,Physical,Adults,2023-04,
Cumberland,Physical,Adults,2023-05,
Cumberland,Physical,Adults,2023-06,
Cumberland,Physical,Adults,2023-07,
Cumberland,Physical,Adults,2023-08,
Cumberland,Physical,Adults,2023-09,
Cumberland,Physical,Adults,2023-10,
Cumberland,Physical,Adults,2023-11,
Cumberland,Physical,Adults,2023-12,
Cumberland,Physical,Adults,2024-01,
Cumberland,Physical,Adults,2024-02,
Cumberland,Physical,Adults,2024-03,
Cumberland,Physical,Under 12,2023-04,
Cumberland,Physical,Under 12,2023-05,
Cumberland,Physical,Under 12,2023-06,
Cumberland,Physical,Under 12,2023-07,
Cumberland,Physical,Under 12,2023-08,
Cumberland,Physical,Under 12,2023-09,
Cumberland,Physical,Under 12,2023-10,
Cumberland,Physical,Under 12,2023-11,
Cumberland,Physical,Under 12,2023-12,
Cumberland,Physical,Under 12,2024-01,
Cumberland,Physical,Under 12,2024-02,
Cumberland,Physical,Under 12,2024-03,
Cumberland,Physical,12-17,2023-04,
Cumberland,Physical,12-17,2023-05,
Cumberland,Physical,12-17,2023-06,
Cumberland,Physical,12-17,2023-07,
Cumberland,Physical,12-17,2023-08,
Cumberland,Physical,12-17,2023-09,
Cumberland,Physical,12-17,2023-10,
Cumberland,Physical,12-17,2023-11,
Cumberland,Physical,12-17,2023-12,
Cumberland,Physical,12-17,2024-01,
Cumberland,Physical,12-17,2024-02,
Cumberland,Physical,12-17,2024-03,
Cumberland,Physical,All Ages,2023-04,
Cumberland,Physical,All Ages,2023-05,
Cumberland,Physical,All Ages,2023-06,
Cumberland,Physical,All Ages,2023-07,
Cumberland,Physical,All Ages,2023-08,
Cumberland,Physical,All Ages,2023-09,
Cumberland,Physical,All Ages,2023-10,
Cumberland,Physical,All Ages,2023-11,
Cumberland,Physical,All Ages,2023-12,
Cumberland,Physical,All Ages,2024-01,
Cumberland,Physical,All Ages,2024-02,
Cumberland,Physical,All Ages,2024-03,
Cumberland,Digital,Adults,2023-04,
Cumberland,Digital,Adults,2023-05,
Cumberland,Digital,Adults,2023-06,
Cumberland,Digital,Adults,2023-07,
Cumberland,Digital,Adults,2023-08,
Cumberland,Digital,Adults,2023-09,
Cumberland,Digital,Adults,2023-10,
Cumberland,Digital,Adults,2023-11,
Cumberland,Digital,Adults,2023-12,
Cumberland,Digital,Adults,2024-01,
Cumberland,Digital,Adults,2024-02,
Cumberland,Digital,Adults,2024-03,
Cumberland,Digital,Under 12,2023-04,
Cumberland,Digital,Under 12,2023-05,
Cumberland,Digital,Under 12,2023-06,
Cumberland,Digital,Under 12,2023-07,
Cumberland,Digital,Under 12,2023-08,
Cumberland,Digital,Under 12,2023-09,
Cumberland,Digital,Under 12,2023-10,
Cumberland,Digital,Under 12,2023-11,
Cumberland,Digital,Under 12,2023-12,
Cumberland,Digital,Under 12,2024-01,
Cumberland,Digital,Under 12,2024-02,
Cumberland,Digital,Under 12,2024-03,
Cumberland,Digital,12-17,2023-04,
Cumberland,Digital,12-17,2023-05,
Cumberland,Digital,12-17,2023-06,
Cumberland,Digital,12-17,2023-07,
Cumberland,Digital,12-17,2023-08,
Cumberland,Digital,12-17,2023-09,
Cumberland,Digital,12-17,2023-10,
Cumberland,Digital,12-17,2023-11,
Cumberland,Digital,12-17,2023-12,
Cumberland,Digital,12-17,2024-01,
Cumberland,Digital,12-17,2024-02,
Cumberland,Digital,12-17,2024-03,
Cumberland,Digital,All Ages,2023-04,
Cumberland,Digital,All Ages,2023-05,
Cumberland,Digital,All Ages,2023-06,
Cumberland,Digital,All Ages,2023-07,
Cumberland,Digital,All Ages,2023-08,
Cumberland,Digital,All Ages,2023-09,
Cumberland,Digital,All Ages,2023-10,
Cumberland,Digital,All Ages,2023-11,
Cumberland,Digital,All Ages,2023-12,
Cumberland,Digital,All Ages,2024-01,
Cumberland,Digital,All Ages,2024-02,
Cumberland,Digital,All Ages,2024-03,
Darlington,Physical,Adults,2023-04,11
Darlington,Physical,Adults,2023-05,11
Darlington,Physical,Adults,2023-06,9
Darlington,Physical,Adults,2023-07,6
Darlington,Physical,Adults,2023-08,2
Darlington,Physical,Adults,2023-09,28
Darlington,Physical,Adults,2023-10,35
Darlington,Physical,Adults,2023-11,35
Darlington,Physical,Adults,2023-12,24
Darlington,Physical,Adults,2024-01,4
Darlington,Physical,Adults,2024-02,33
Darlington,Physical,Adults,2024-03,26
Darlington,Physical,Under 12,2023-04,40
Darlington,Physical,Under 12,2023-05,47
Darlington,Physical,Under 12,2023-06,31
Darlington,Physical,Under 12,2023-07,49
Darlington,Physical,Under 12,2023-08,47
Darlington,Physical,Under 12,2023-09,38
Darlington,Physical,Under 12,2023-10,72
Darlington,Physical,Under 12,2023-11,91
Darlington,Physical,Under 12,2023-12,58
Darlington,Physical,Under 12,2024-01,64
Darlington,Physical,Under 12,2024-02,80
Darlington,Physical,Under 12,2024-03,93
Darlington,Physical,12-17,2023-04,1
Darlington,Physical,12-17,2023-05,2
Darlington,Physical,12-17,2023-06,1
Darlington,Physical,12-17,2023-07,5
Darlington,Physical,12-17,2023-08,
Darlington,Physical,12-17,2023-09,1
Darlington,Physical,12-17,2023-10,1
Darlington,Physical,12-17,2023-11,1
Darlington,Physical,12-17,2023-12,1
Darlington,Physical,12-17,2024-01,1
Darlington,Physical,12-17,2024-02,1
Darlington,Physical,12-17,2024-03,1
Darlington,Physical,All Ages,2023-04,
Darlington,Physical,All Ages,2023-05,
Darlington,Physical,All Ages,2023-06,
Darlington,Physical,All Ages,2023-07,
Darlington,Physical,All Ages,2023-08,2
Darlington,Physical,All Ages,2023-09,4
Darlington,Physical,All Ages,2023-10,
Darlington,Physical,All Ages,2023-11,2
Darlington,Physical,All Ages,2023-12,1
Darlington,Physical,All Ages,2024-01,
Darlington,Physical,All Ages,2024-02,
Darlington,Physical,All Ages,2024-03,
Darlington,Digital,Adults,2023-04,
Darlington,Digital,Adults,2023-05,
Darlington,Digital,Adults,2023-06,
Darlington,Digital,Adults,2023-07,
Darlington,Digital,Adults,2023-08,
Darlington,Digital,Adults,2023-09,
Darlington,Digital,Adults,2023-10,
Darlington,Digital,Adults,2023-11,
Darlington,Digital,Adults,2023-12,
Darlington,Digital,Adults,2024-01,
Darlington,Digital,Adults,2024-02,
Darlington,Digital,Adults,2024-03,
Darlington,Digital,Under 12,2023-04,
Darlington,Digital,Under 12,2023-05,
Darlington,Digital,Under 12,2023-06,
Darlington,Digital,Under 12,2023-07,
Darlington,Digital,Under 12,2023-08,
Darlington,Digital,Under 12,2023-09,
Darlington,Digital,Under 12,2023-10,
Darlington,Digital,Under 12,2023-11,
Darlington,Digital,Under 12,2023-12,
Darlington,Digital,Under 12,2024-01,
Darlington,Digital,Under 12,2024-02,
Darlington,Digital,Under 12,2024-03,
Darlington,Digital,12-17,2023-04,
Darlington,Digital,12-17,2023-05,
Darlington,Digital,12-17,2023-06,
Darlington,Digital,12-17,2023-07,
Darlington,Digital,12-17,2023-08,
Darlington,Digital,12-17,2023-09,
Darlington,Digital,12-17,2023-10,
Darlington,Digital,12-17,2023-11,
Darlington,Digital,12-17,2023-12,
Darlington,Digital,12-17,2024-01,
Darlington,Digital,12-17,2024-02,
Darlington,Digital,12-17,2024-03,
Darlington,Digital,All Ages,2023-04,
Darlington,Digital,All Ages,2023-05,
Darlington,Digital,All Ages,2023-06,
Darlington,Digital,All Ages,2023-07,
Darlington,Digital,All Ages,2023-08,
Darlington,Digital,All Ages,2023-09,
Darlington,Digital,All Ages,2023-10,
Darlington,Digital,All Ages,2023-11,
Darlington,Digital,All Ages,2023-12,
Darlington,Digital,All Ages,2024-01,
Darlington,Digital,All Ages,2024-02,
Darlington,Digital,All Ages,2024-03,
Derby,Physical,Adults,2023-04,89
Derby,Physical,Adults,2023-05,110
Derby,Physical,Adults,2023-06,106
Derby,Physical,Adults,2023-07,96
Derby,Physical,Adults,2023-08,80
Derby,Physical,Adults,2023-09,85
Derby,Physical,Adults,2023-10,107
Derby,Physical,Adults,2023-11,83
Derby,Physical,Adults,2023-12,83
Derby,Physical,Adults,2024-01,118
Derby,Physical,Adults,2024-02,122
Derby,Physical,Adults,2024-03,117
Derby,Physical,Under 12,2023-04,52
Derby,Physical,Under 12,2023-05,62
Derby,Physical,Under 12,2023-06,81
Derby,Physical,Under 12,2023-07,57
Derby,Physical,Under 12,2023-08,38
Derby,Physical,Under 12,2023-09,58
Derby,Physical,Under 12,2023-10,62
Derby,Physical,Under 12,2023-11,52
Derby,Physical,Under 12,2023-12,57
Derby,Physical,Under 12,2024-01,66
Derby,Physical,Under 12,2024-02,69
Derby,Physical,Under 12,2024-03,62
Derby,Physical,12-17,2023-04,
Derby,Physical,12-17,2023-05,
Derby,Physical,12-17,2023-06,
Derby,Physical,12-17,2023-07,
Derby,Physical,12-17,2023-08,
Derby,Physical,12-17,2023-09,
Derby,Physical,12-17,2023-10,
Derby,Physical,12-17,2023-11,
Derby,Physical,12-17,2023-12,
Derby,Physical,12-17,2024-01,
Derby,Physical,12-17,2024-02,
Derby,Physical,12-17,2024-03,
Derby,Physical,All Ages,2023-04,
Derby,Physical,All Ages,2023-05,
Derby,Physical,All Ages,2023-06,
Derby,Physical,All Ages,2023-07,
Derby,Physical,All Ages,2023-08,
Derby,Physical,All Ages,2023-09,
Derby,Physical,All Ages,2023-10,
Derby,Physical,All Ages,2023-11,
Derby,Physical,All Ages,2023-12,
Derby,Physical,All Ages,2024-01,
Derby,Physical,All Ages,2024-02,
Derby,Physical,All Ages,2024-03,
Derby,Digital,Adults,2023-04,
Derby,Digital,Adults,2023-05,
Derby,Digital,Adults,2023-06,
Derby,Digital,Adults,2023-07,
Derby,Digital,Adults,2023-08,
Derby,Digital,Adults,2023-09,
Derby,Digital,Adults,2023-10,
Derby,Digital,Adults,2023-11,
Derby,Digital,Adults,2023-12,
Derby,Digital,Adults,2024-01,
Derby,Digital,Adults,2024-02,
Derby,Digital,Adults,2024-03,
Derby,Digital,Under 12,2023-04,
Derby,Digital,Under 12,2023-05,
Derby,Digital,Under 12,2023-06,
Derby,Digital,Under 12,2023-07,
Derby,Digital,Under 12,2023-08,
Derby,Digital,Under 12,2023-09,
Derby,Digital,Under 12,2023-10,
Derby,Digital,Under 12,2023-11,
Derby,Digital,Under 12,2023-12,
Derby,Digital,Under 12,2024-01,
Derby,Digital,Under 12,2024-02,
Derby,Digital,Under 12,2024-03,
Derby,Digital,12-17,2023-04,
Derby,Digital,12-17,2023-05,
Derby,Digital,12-17,2023-06,
Derby,Digital,12-17,2023-07,
Derby,Digital,12-17,2023-08,
Derby,Digital,12-17,2023-09,
Derby,Digital,12-17,2023-10,
Derby,Digital,12-17,2023-11,
Derby,Digital,12-17,2023-12,
Derby,Digital,12-17,2024-01,
Derby,Digital,12-17,2024-02,
Derby,Digital,12-17,2024-03,
Derby,Digital,All Ages,2023-04,
Derby,Digital,All Ages,2023-05,
Derby,Digital,All Ages,2023-06,
Derby,Digital,All Ages,2023-07,
Derby,Digital,All Ages,2023-08,
Derby,Digital,All Ages,2023-09,
Derby,Digital,All Ages,2023-10,
Derby,Digital,All Ages,2023-11,
Derby,Digital,All Ages,2023-12,
Derby,Digital,All Ages,2024-01,
Derby,Digital,All Ages,2024-02,
Derby,Digital,All Ages,2024-03,
Derbyshire,Physical,Adults,2023-04,
Derbyshire,Physical,Adults,2023-05,
Derbyshire,Physical,Adults,2023-06,
Derbyshire,Physical,Adults,2023-07,
Derbyshire,Physical,Adults,2023-08,
Derbyshire,Physical,Adults,2023-09,
Derbyshire,Physical,Adults,2023-10,
Derbyshire,Physical,Adults,2023-11,
Derbyshire,Physical,Adults,2023-12,
Derbyshire,Physical,Adults,2024-01,
Derbyshire,Physical,Adults,2024-02,
Derbyshire,Physical,Adults,2024-03,
Derbyshire,Physical,Under 12,2023-04,
Derbyshire,Physical,Under 12,2023-05,
Derbyshire,Physical,Under 12,2023-06,
Derbyshire,Physical,Under 12,2023-07,
Derbyshire,Physical,Under 12,2023-08,
Derbyshire,Physical,Under 12,2023-09,
Derbyshire,Physical,Under 12,2023-10,
Derbyshire,Physical,Under 12,2023-11,
Derbyshire,Physical,Under 12,2023-12,
Derbyshire,Physical,Under 12,2024-01,
Derbyshire,Physical,Under 12,2024-02,
Derbyshire,Physical,Under 12,2024-03,
Derbyshire,Physical,12-17,2023-04,
Derbyshire,Physical,12-17,2023-05,
Derbyshire,Physical,12-17,2023-06,
Derbyshire,Physical,12-17,2023-07,
Derbyshire,Physical,12-17,2023-08,
Derbyshire,Physical,12-17,2023-09,
Derbyshire,Physical,12-17,2023-10,
Derbyshire,Physical,12-17,2023-11,
Derbyshire,Physical,12-17,2023-12,
Derbyshire,Physical,12-17,2024-01,
Derbyshire,Physical,12-17,2024-02,
Derbyshire,Physical,12-17,2024-03,
Derbyshire,Physical,All Ages,2023-04,
Derbyshire,Physical,All Ages,2023-05,
Derbyshire,Physical,All Ages,2023-06,
Derbyshire,Physical,All Ages,2023-07,
Derbyshire,Physical,All Ages,2023-08,
Derbyshire,Physical,All Ages,2023-09,
Derbyshire,Physical,All Ages,2023-10,
Derbyshire,Physical,All Ages,2023-11,
Derbyshire,Physical,All Ages,2023-12,
Derbyshire,Physical,All Ages,2024-01,
Derbyshire,Physical,All Ages,2024-02,
Derbyshire,Physical,All Ages,2024-03,
Derbyshire,Digital,Adults,2023-04,
Derbyshire,Digital,Adults,2023-05,
Derbyshire,Digital,Adults,2023-06,
Derbyshire,Digital,Adults,2023-07,
Derbyshire,Digital,Adults,2023-08,
Derbyshire,Digital,Adults,2023-09,
Derbyshire,Digital,Adults,2023-10,
Derbyshire,Digital,Adults,2023-11,
Derbyshire,Digital,Adults,2023-12,
Derbyshire,Digital,Adults,2024-01,
Derbyshire,Digital,Adults,2024-02,
Derbyshire,Digital,Adults,2024-03,
Derbyshire,Digital,Under 12,2023-04,
Derbyshire,Digital,Under 12,2023-05,
Derbyshire,Digital,Under 12,2023-06,
Derbyshire,Digital,Under 12,2023-07,
Derbyshire,Digital,Under 12,2023-08,
Derbyshire,Digital,Under 12,2023-09,
Derbyshire,Digital,Under 12,2023-10,
Derbyshire,Digital,Under 12,2023-11,
Derbyshire,Digital,Under 12,2023-12,
Derbyshire,Digital,Under 12,2024-01,
Derbyshire,Digital,Under 12,2024-02,
Derbyshire,Digital,Under 12,2024-03,
Derbyshire,Digital,12-17,2023-04,
Derbyshire,Digital,12-17,2023-05,
Derbyshire,Digital,12-17,2023-06,
Derbyshire,Digital,12-17,2023-07,
Derbyshire,Digital,12-17,2023-08,
Derbyshire,Digital,12-17,2023-09,
Derbyshire,Digital,12-17,2023-10,
Derbyshire,Digital,12-17,2023-11,
Derbyshire,Digital,12-17,2023-12,
Derbyshire,Digital,12-17,2024-01,
Derbyshire,Digital,12-17,2024-02,
Derbyshire,Digital,12-17,2024-03,
Derbyshire,Digital,All Ages,2023-04,
Derbyshire,Digital,All Ages,2023-05,
Derbyshire,Digital,All Ages,2023-06,
Derbyshire,Digital,All Ages,2023-07,
Derbyshire,Digital,All Ages,2023-08,
Derbyshire,Digital,All Ages,2023-09,
Derbyshire,Digital,All Ages,2023-10,
Derbyshire,Digital,All Ages,2023-11,
Derbyshire,Digital,All Ages,2023-12,
Derbyshire,Digital,All Ages,2024-01,
Derbyshire,Digital,All Ages,2024-02,
Derbyshire,Digital,All Ages,2024-03,
Devon,Physical,Adults,2023-04,
Devon,Physical,Adults,2023-05,
Devon,Physical,Adults,2023-06,
Devon,Physical,Adults,2023-07,
Devon,Physical,Adults,2023-08,
Devon,Physical,Adults,2023-09,
Devon,Physical,Adults,2023-10,
Devon,Physical,Adults,2023-11,
Devon,Physical,Adults,2023-12,
Devon,Physical,Adults,2024-01,
Devon,Physical,Adults,2024-02,
Devon,Physical,Adults,2024-03,
Devon,Physical,Under 12,2023-04,
Devon,Physical,Under 12,2023-05,
Devon,Physical,Under 12,2023-06,
Devon,Physical,Under 12,2023-07,
Devon,Physical,Under 12,2023-08,
Devon,Physical,Under 12,2023-09,
Devon,Physical,Under 12,2023-10,
Devon,Physical,Under 12,2023-11,
Devon,Physical,Under 12,2023-12,
Devon,Physical,Under 12,2024-01,
Devon,Physical,Under 12,2024-02,
Devon,Physical,Under 12,2024-03,
Devon,Physical,12-17,2023-04,
Devon,Physical,12-17,2023-05,
Devon,Physical,12-17,2023-06,
Devon,Physical,12-17,2023-07,
Devon,Physical,12-17,2023-08,
Devon,Physical,12-17,2023-09,
Devon,Physical,12-17,2023-10,
Devon,Physical,12-17,2023-11,
Devon,Physical,12-17,2023-12,
Devon,Physical,12-17,2024-01,
Devon,Physical,12-17,2024-02,
Devon,Physical,12-17,2024-03,
Devon,Physical,All Ages,2023-04,
Devon,Physical,All Ages,2023-05,
Devon,Physical,All Ages,2023-06,
Devon,Physical,All Ages,2023-07,
Devon,Physical,All Ages,2023-08,
Devon,Physical,All Ages,2023-09,
Devon,Physical,All Ages,2023-10,
Devon,Physical,All Ages,2023-11,
Devon,Physical,All Ages,2023-12,
Devon,Physical,All Ages,2024-01,
Devon,Physical,All Ages,2024-02,
Devon,Physical,All Ages,2024-03,
Devon,Digital,Adults,2023-04,
Devon,Digital,Adults,2023-05,
Devon,Digital,Adults,2023-06,
Devon,Digital,Adults,2023-07,
Devon,Digital,Adults,2023-08,
Devon,Digital,Adults,2023-09,
Devon,Digital,Adults,2023-10,
Devon,Digital,Adults,2023-11,
Devon,Digital,Adults,2023-12,
Devon,Digital,Adults,2024-01,
Devon,Digital,Adults,2024-02,
Devon,Digital,Adults,2024-03,
Devon,Digital,Under 12,2023-04,
Devon,Digital,Under 12,2023-05,
Devon,Digital,Under 12,2023-06,
Devon,Digital,Under 12,2023-07,
Devon,Digital,Under 12,2023-08,
Devon,Digital,Under 12,2023-09,
Devon,Digital,Under 12,2023-10,
Devon,Digital,Under 12,2023-11,
Devon,Digital,Under 12,2023-12,
Devon,Digital,Under 12,2024-01,
Devon,Digital,Under 12,2024-02,
Devon,Digital,Under 12,2024-03,
Devon,Digital,12-17,2023-04,
Devon,Digital,12-17,2023-05,
Devon,Digital,12-17,2023-06,
Devon,Digital,12-17,2023-07,
Devon,Digital,12-17,2023-08,
Devon,Digital,12-17,2023-09,
Devon,Digital,12-17,2023-10,
Devon,Digital,12-17,2023-11,
Devon,Digital,12-17,2023-12,
Devon,Digital,12-17,2024-01,
Devon,Digital,12-17,2024-02,
Devon,Digital,12-17,2024-03,
Devon,Digital,All Ages,2023-04,
Devon,Digital,All Ages,2023-05,
Devon,Digital,All Ages,2023-06,
Devon,Digital,All Ages,2023-07,
Devon,Digital,All Ages,2023-08,
Devon,Digital,All Ages,2023-09,
Devon,Digital,All Ages,2023-10,
Devon,Digital,All Ages,2023-11,
Devon,Digital,All Ages,2023-12,
Devon,Digital,All Ages,2024-01,
Devon,Digital,All Ages,2024-02,
Devon,Digital,All Ages,2024-03,
Doncaster,Physical,Adults,2023-04,
Doncaster,Physical,Adults,2023-05,
Doncaster,Physical,Adults,2023-06,
Doncaster,Physical,Adults,2023-07,
Doncaster,Physical,Adults,2023-08,
Doncaster,Physical,Adults,2023-09,
Doncaster,Physical,Adults,2023-10,
Doncaster,Physical,Adults,2023-11,
Doncaster,Physical,Adults,2023-12,
Doncaster,Physical,Adults,2024-01,
Doncaster,Physical,Adults,2024-02,
Doncaster,Physical,Adults,2024-03,
Doncaster,Physical,Under 12,2023-04,
Doncaster,Physical,Under 12,2023-05,
Doncaster,Physical,Under 12,2023-06,
Doncaster,Physical,Under 12,2023-07,
Doncaster,Physical,Under 12,2023-08,
Doncaster,Physical,Under 12,2023-09,
Doncaster,Physical,Under 12,2023-10,
Doncaster,Physical,Under 12,2023-11,
Doncaster,Physical,Under 12,2023-12,
Doncaster,Physical,Under 12,2024-01,
Doncaster,Physical,Under 12,2024-02,
Doncaster,Physical,Under 12,2024-03,
Doncaster,Physical,12-17,2023-04,
Doncaster,Physical,12-17,2023-05,
Doncaster,Physical,12-17,2023-06,
Doncaster,Physical,12-17,2023-07,
Doncaster,Physical,12-17,2023-08,
Doncaster,Physical,12-17,2023-09,
Doncaster,Physical,12-17,2023-10,
Doncaster,Physical,12-17,2023-11,
Doncaster,Physical,12-17,2023-12,
Doncaster,Physical,12-17,2024-01,
Doncaster,Physical,12-17,2024-02,
Doncaster,Physical,12-17,2024-03,
Doncaster,Physical,All Ages,2023-04,
Doncaster,Physical,All Ages,2023-05,
Doncaster,Physical,All Ages,2023-06,
Doncaster,Physical,All Ages,2023-07,
Doncaster,Physical,All Ages,2023-08,
Doncaster,Physical,All Ages,2023-09,
Doncaster,Physical,All Ages,2023-10,
Doncaster,Physical,All Ages,2023-11,
Doncaster,Physical,All Ages,2023-12,
Doncaster,Physical,All Ages,2024-01,
Doncaster,Physical,All Ages,2024-02,
Doncaster,Physical,All Ages,2024-03,
Doncaster,Digital,Adults,2023-04,
Doncaster,Digital,Adults,2023-05,
Doncaster,Digital,Adults,2023-06,
Doncaster,Digital,Adults,2023-07,
Doncaster,Digital,Adults,2023-08,
Doncaster,Digital,Adults,2023-09,
Doncaster,Digital,Adults,2023-10,
Doncaster,Digital,Adults,2023-11,
Doncaster,Digital,Adults,2023-12,
Doncaster,Digital,Adults,2024-01,
Doncaster,Digital,Adults,2024-02,
Doncaster,Digital,Adults,2024-03,
Doncaster,Digital,Under 12,2023-04,
Doncaster,Digital,Under 12,2023-05,
Doncaster,Digital,Under 12,2023-06,
Doncaster,Digital,Under 12,2023-07,
Doncaster,Digital,Under 12,2023-08,
Doncaster,Digital,Under 12,2023-09,
Doncaster,Digital,Under 12,2023-10,
Doncaster,Digital,Under 12,2023-11,
Doncaster,Digital,Under 12,2023-12,
Doncaster,Digital,Under 12,2024-01,
Doncaster,Digital,Under 12,2024-02,
Doncaster,Digital,Under 12,2024-03,
Doncaster,Digital,12-17,2023-04,
Doncaster,Digital,12-17,2023-05,
Doncaster,Digital,12-17,2023-06,
Doncaster,Digital,12-17,2023-07,
Doncaster,Digital,12-17,2023-08,
Doncaster,Digital,12-17,2023-09,
Doncaster,Digital,12-17,2023-10,
Doncaster,Digital,12-17,2023-11,
Doncaster,Digital,12-17,2023-12,
Doncaster,Digital,12-17,2024-01,
Doncaster,Digital,12-17,2024-02,
Doncaster,Digital,12-17,2024-03,
Doncaster,Digital,All Ages,2023-04,
Doncaster,Digital,All Ages,2023-05,
Doncaster,Digital,All Ages,2023-06,
Doncaster,Digital,All Ages,2023-07,
Doncaster,Digital,All Ages,2023-08,
Doncaster,Digital,All Ages,2023-09,
