Authority,Event type,Age group,Month,Count
Barnsley,Physical,All Ages,2024-02,1
Barnsley,Physical,All Ages,2024-03,1
Barnsley,Digital,Adults,2023-04,
Barnsley,Digital,Adults,2023-05,
Barnsley,Digital,Adults,2023-06,
Barnsley,Digital,Adults,2023-07,
Barnsley,Digital,Adults,2023-08,
Barnsley,Digital,Adults,2023-09,
Barnsley,Digital,Adults,2023-10,
Barnsley,Digital,Adults,2023-11,
Barnsley,Digital,Adults,2023-12,
Barnsley,Digital,Adults,2024-01,
Barnsley,Digital,Adults,2024-02,
Barnsley,Digital,Adults,2024-03,
Barnsley,Digital,Under 12,2023-04,
Barnsley,Digital,Under 12,2023-05,
Barnsley,Digital,Under 12,2023-06,
Barnsley,Digital,Under 12,2023-07,
Barnsley,Digital,Under 12,2023-08,
Barnsley,Digital,Under 12,2023-09,
Barnsley,Digital,Under 12,2023-10,
Barnsley,Digital,Under 12,2023-11,
Barnsley,Digital,Under 12,2023-12,
Barnsley,Digital,Under 12,2024-01,
Barnsley,Digital,Under 12,2024-02,
Barnsley,Digital,Under 12,2024-03,
Barnsley,Digital,12-17,2023-04,
Barnsley,Digital,12-17,2023-05,
Barnsley,Digital,12-17,2023-06,
Barnsley,Digital,12-17,2023-07,
Barnsley,Digital,12-17,2023-08,
Barnsley,Digital,12-17,2023-09,
Barnsley,Digital,12-17,2023-10,
Barnsley,Digital,12-17,2023-11,
Barnsley,Digital,12-17,2023-12,
Barnsley,Digital,12-17,2024-01,
Barnsley,Digital,12-17,2024-02,
Barnsley,Digital,12-17,2024-03,
Barnsley,Digital,All Ages,2023-04,
Barnsley,Digital,All Ages,2023-05,
Barnsley,Digital,All Ages,2023-06,
Barnsley,Digital,All Ages,2023-07,
Barnsley,Digital,All Ages,2023-08,
Barnsley,Digital,All Ages,2023-09,
Barnsley,Digital,All Ages,2023-10,
Barnsley,Digital,All Ages,2023-11,
Barnsley,Digital,All Ages,2023-12,
Barnsley,Digital,All Ages,2024-01,
Barnsley,Digital,All Ages,2024-02,
Barnsley,Digital,All Ages,2024-03,
Bath and North East Somerset,Physical,Adults,2023-04,
Bath and North East Somerset,Physical,Adults,2023-05,
Bath and North East Somerset,Physical,Adults,2023-06,
Bath and North East Somerset,Physical,Adults,2023-07,
Bath and North East Somerset,Physical,Adults,2023-08,
Bath and North East Somerset,Physical,Adults,2023-09,
Bath and North East Somerset,Physical,Adults,2023-10,
Bath and North East Somerset,Physical,Adults,2023-11,
Bath and North East Somerset,Physical,Adults,2023-12,
Bath and North East Somerset,Physical,Adults,2024-01,
Bath and North East Somerset,Physical,Adults,2024-02,
Bath and North East Somerset,Physical,Adults,2024-03,
Bath and North East Somerset,Physical,Under 12,2023-04,
Bath and North East Somerset,Physical,Under 12,2023-05,
Bath and North East Somerset,Physical,Under 12,2023-06,
Bath and North East Somerset,Physical,Under 12,2023-07,
Bath and North East Somerset,Physical,Under 12,2023-08,
Bath and North East Somerset,Physical,Under 12,2023-09,
Bath and North East Somerset,Physical,Under 12,2023-10,
Bath and North East Somerset,Physical,Under 12,2023-11,
Bath and North East Somerset,Physical,Under 12,2023-12,
Bath and North East Somerset,Physical,Under 12,2024-01,
Bath and North East Somerset,Physical,Under 12,2024-02,
Bath and North East Somerset,Physical,Under 12,2024-03,
Bath and North East Somerset,Physical,12-17,2023-04,
Bath and North East Somerset,Physical,12-17,2023-05,
Bath and North East Somerset,Physical,12-17,2023-06,
Bath and North East Somerset,Physical,12-17,2023-07,
Bath and North East Somerset,Physical,12-17,2023-08,
Bath and North East Somerset,Physical,12-17,2023-09,
Bath and North East Somerset,Physical,12-17,2023-10,
Bath and North East Somerset,Physical,12-17,2023-11,
Bath and North East Somerset,Physical,12-17,2023-12,
Bath and North East Somerset,Physical,12-17,2024-01,
Bath and North East Somerset,Physical,12-17,2024-02,
Bath and North East Somerset,Physical,12-17,2024-03,
Bath and North East Somerset,Physical,All Ages,2023-04,
Bath and North East Somerset,Physical,All Ages,2023-05,
Bath and North East Somerset,Physical,All Ages,2023-06,
Bath and North East Somerset,Physical,All Ages,2023-07,
Bath and North East Somerset,Physical,All Ages,2023-08,
Bath and North East Somerset,Physical,All Ages,2023-09,
Bath and North East Somerset,Physical,All Ages,2023-10,
Bath and North East Somerset,Physical,All Ages,2023-11,
Bath and North East Somerset,Physical,All Ages,2023-12,
Bath and North East Somerset,Physical,All Ages,2024-01,
Bath and North East Somerset,Physical,All Ages,2024-02,
Bath and North East Somerset,Physical,All Ages,2024-03,
Bath and North East Somerset,Digital,Adults,2023-04,
Bath and North East Somerset,Digital,Adults,2023-05,
Bath and North East Somerset,Digital,Adults,2023-06,
Bath and North East Somerset,Digital,Adults,2023-07,
Bath and North East Somerset,Digital,Adults,2023-08,
Bath and North East Somerset,Digital,Adults,2023-09,
Bath and North East Somerset,Digital,Adults,2023-10,
Bath and North East Somerset,Digital,Adults,2023-11,
Bath and North East Somerset,Digital,Adults,2023-12,
Bath and North East Somerset,Digital,Adults,2024-01,
Bath and North East Somerset,Digital,Adults,2024-02,
Bath and North East Somerset,Digital,Adults,2024-03,
Bath and North East Somerset,Digital,Under 12,2023-04,
Bath and North East Somerset,Digital,Under 12,2023-05,
Bath and North East Somerset,Digital,Under 12,2023-06,
Bath and North East Somerset,Digital,Under 12,2023-07,
Bath and North East Somerset,Digital,Under 12,2023-08,
Bath and North East Somerset,Digital,Under 12,2023-09,
Bath and North East Somerset,Digital,Under 12,2023-10,
Bath and North East Somerset,Digital,Under 12,2023-11,
Bath and North East Somerset,Digital,Under 12,2023-12,
Bath and North East Somerset,Digital,Under 12,2024-01,
Bath and North East Somerset,Digital,Under 12,2024-02,
Bath and North East Somerset,Digital,Under 12,2024-03,
Bath and North East Somerset,Digital,12-17,2023-04,
Bath and North East Somerset,Digital,12-17,2023-05,
Bath and North East Somerset,Digital,12-17,2023-06,
Bath and North East Somerset,Digital,12-17,2023-07,
Bath and North East Somerset,Digital,12-17,2023-08,
Bath and North East Somerset,Digital,12-17,2023-09,
Bath and North East Somerset,Digital,12-17,2023-10,
Bath and North East Somerset,Digital,12-17,2023-11,
Bath and North East Somerset,Digital,12-17,2023-12,
Bath and North East Somerset,Digital,12-17,2024-01,
Bath and North East Somerset,Digital,12-17,2024-02,
Bath and North East Somerset,Digital,12-17,2024-03,
Bath and North East Somerset,Digital,All Ages,2023-04,
Bath and North East Somerset,Digital,All Ages,2023-05,
Bath and North East Somerset,Digital,All Ages,2023-06,
Bath and North East Somerset,Digital,All Ages,2023-07,
Bath and North East Somerset,Digital,All Ages,2023-08,
Bath and North East Somerset,Digital,All Ages,2023-09,
Bath and North East Somerset,Digital,All Ages,2023-10,
Bath and North East Somerset,Digital,All Ages,2023-11,
Bath and North East Somerset,Digital,All Ages,2023-12,
Bath and North East Somerset,Digital,All Ages,2024-01,
Bath and North East Somerset,Digital,All Ages,2024-02,
Bath and North East Somerset,Digital,All Ages,2024-03,
Blackburn with Darwen,Physical,Adults,2023-04,53
Blackburn with Darwen,Physical,Adults,2023-05,66
Blackburn with Darwen,Physical,Adults,2023-06,69
Blackburn with Darwen,Physical,Adults,2023-07,63
Blackburn with Darwen,Physical,Adults,2023-08,62
Blackburn with Darwen,Physical,Adults,2023-09,71
Blackburn with Darwen,Physical,Adults,2023-10,65
Blackburn with Darwen,Physical,Adults,2023-11,72
Blackburn with Darwen,Physical,Adults,2023-12,56
Blackburn with Darwen,Physical,Adults,2024-01,82
Blackburn with Darwen,Physical,Adults,2024-02,80
Blackburn with Darwen,Physical,Adults,2024-03,73
Blackburn with Darwen,Physical,Under 12,2023-04,58
Blackburn with Darwen,Physical,Under 12,2023-05,38
Blackburn with Darwen,Physical,Under 12,2023-06,54
Blackburn with Darwen,Physical,Under 12,2023-07,40
Blackburn with Darwen,Physical,Under 12,2023-08,53
Blackburn with Darwen,Physical,Under 12,2023-09,44
Blackburn with Darwen,Physical,Under 12,2023-10,91
Blackburn with Darwen,Physical,Under 12,2023-11,52
Blackburn with Darwen,Physical,Under 12,2023-12,46
Blackburn with Darwen,Physical,Under 12,2024-01,62
Blackburn with Darwen,Physical,Under 12,2024-02,72
Blackburn with Darwen,Physical,Under 12,2024-03,69
Blackburn with Darwen,Physical,12-17,2023-04,
Blackburn with Darwen,Physical,12-17,2023-05,
Blackburn with Darwen,Physical,12-17,2023-06,
Blackburn with Darwen,Physical,12-17,2023-07,
Blackburn with Darwen,Physical,12-17,2023-08,2
Blackburn with Darwen,Physical,12-17,2023-09,
Blackburn with Darwen,Physical,12-17,2023-10,1
Blackburn with Darwen,Physical,12-17,2023-11,
Blackburn with Darwen,Physical,12-17,2023-12,5
Blackburn with Darwen,Physical,12-17,2024-01,5
Blackburn with Darwen,Physical,12-17,2024-02,5
Blackburn with Darwen,Physical,12-17,2024-03,8
Blackburn with Darwen,Physical,All Ages,2023-04,
Blackburn with Darwen,Physical,All Ages,2023-05,
Blackburn with Darwen,Physical,All Ages,2023-06,
Blackburn with Darwen,Physical,All Ages,2023-07,
Blackburn with Darwen,Physical,All Ages,2023-08,
Blackburn with Darwen,Physical,All Ages,2023-09,
Blackburn with Darwen,Physical,All Ages,2023-10,
Blackburn with Darwen,Physical,All Ages,2023-11,1
Blackburn with Darwen,Physical,All Ages,2023-12,
Blackburn with Darwen,Physical,All Ages,2024-01,
Blackburn with Darwen,Physical,All Ages,2024-02,
Blackburn with Darwen,Physical,All Ages,2024-03,
Blackburn with Darwen,Digital,Adults,2023-04,
Blackburn with Darwen,Digital,Adults,2023-05,
Blackburn with Darwen,Digital,Adults,2023-06,
Blackburn with Darwen,Digital,Adults,2023-07,
Blackburn with Darwen,Digital,Adults,2023-08,
Blackburn with Darwen,Digital,Adults,2023-09,
Blackburn with Darwen,Digital,Adults,2023-10,
Blackburn with Darwen,Digital,Adults,2023-11,
Blackburn with Darwen,Digital,Adults,2023-12,
Blackburn with Darwen,Digital,Adults,2024-01,
Blackburn with Darwen,Digital,Adults,2024-02,
Blackburn with Darwen,Digital,Adults,2024-03,
Blackburn with Darwen,Digital,Under 12,2023-04,
Blackburn with Darwen,Digital,Under 12,2023-05,
Blackburn with Darwen,Digital,Under 12,2023-06,
Blackburn with Darwen,Digital,Under 12,2023-07,
Blackburn with Darwen,Digital,Under 12,2023-08,
Blackburn with Darwen,Digital,Under 12,2023-09,
Blackburn with Darwen,Digital,Under 12,2023-10,
Blackburn with Darwen,Digital,Under 12,2023-11,
Blackburn with Darwen,Digital,Under 12,2023-12,
Blackburn with Darwen,Digital,Under 12,2024-01,
Blackburn with Darwen,Digital,Under 12,2024-02,
Blackburn with Darwen,Digital,Under 12,2024-03,
