Authority,Age group,Count
E06000002,Under 12,1165
E06000002,Adults,55
E06000002,12-17,1490
E08000021,Unknown,14225
E09000025,Under 12,29681
E09000025,Adults,29348
E09000025,12-17,6880
E10000020,Under 12,35589
E10000020,Adults,100494
E10000020,12-17,8404
E06000012,Under 12,1839
E06000012,Adults,6675
E06000012,12-17,411
E06000013,Under 12,4222
E06000013,Adults,7096
E06000024,Under 12,7712
E06000024,Adults,18998
E06000024,12-17,948
E08000022,Under 12,5376
E08000022,Adults,14485
E08000022,12-17,838
E10000023,Unknown,58510
E06000057,Unknown,20130
E06000018,Under 12,8253
E06000018,Adults,26467
E06000018,12-17,3333
E10000024,Unknown,108627
E08000004,Under 12,5814
E08000004,Adults,7514
E08000004,12-17,1443
E10000025,Under 12,27233
E10000025,Adults,4763
E10000025,12-17,38877
E06000031,Under 12,42581
E06000031,Adults,115112
E06000031,12-17,13064
E06000044,Under 12,5056
E06000044,Adults,9256
E06000044,12-17,574
E06000038,Unknown,12938
E08000005,Under 12,5688
E08000005,Adults,6893
E08000005,12-17,400
E08000018,Unknown,15008
E06000040,Unknown,16024
E06000017,Under 12,1281
E06000017,Adults,4031
E06000017,12-17,252
E08000006,Unknown,19049
E08000028,Under 12,6812
E08000028,Adults,9192
E08000028,12-17,2782
E08000014,Under 12,8665
E08000014,Adults,23080
E08000014,12-17,4259
E08000019,Unknown,66280
E06000051,Unknown,35900
E08000029,Unknown,16539
E10000027,Under 12,18251
E10000027,Adults,49728
E10000027,12-17,2499
E06000025,Under 12,20126
E06000025,Adults,23972
E06000025,12-17,1628
E08000023,Under 12,4295
E08000023,Adults,6893
E08000023,12-17,302
E06000045,Unknown,19790
E09000028,Unknown,31382
E08000013,Under 12,3696
E08000013,Adults,5990
E08000013,12-17,485
E10000028,Under 12,17369
E10000028,Adults,34042
E10000028,12-17,8556
E08000007,Unknown,23189
E06000004,Under 12,4796
E06000004,Adults,10145
E06000004,12-17,336
E06000021,Under 12,4255
E06000021,Adults,10153
E06000021,12-17,2355
E10000029,Unknown,
E08000024,Unknown,6191
E10000030,Under 12,45848
E10000030,Adults,127083
E10000030,12-17,11490
E06000030,Under 12,4710
E06000030,Adults,8154
E06000030,12-17,1502
E08000008,Unknown,14742
E06000020,Unknown,11281
E06000034,Under 12,6033
E06000034,Adults,11548
E06000034,12-17,1839
E06000027,Under 12,3421
E06000027,Adults,11733
E06000027,12-17,1124
E09000030,Under 12,6129
E09000030,Adults,14667
E09000030,12-17,3110
E09000026,Under 12,10277
E09000026,Adults,14729
E09000026,12-17,4201
E08000036,Under 12,6086
E08000036,Adults,22275
E08000036,12-17,2826
E08000030,Under 12,10846
E08000030,Adults,18496
E08000030,12-17,2431
E09000032,Under 12,11432
E09000032,Adults,22252
E09000032,12-17,3669
E06000007,Unknown,16992
E10000031,Unknown,58754
E06000037,Under 12,4744
E06000037,Adults,8745
E06000037,12-17,1372
E10000032,Under 12,46932
E10000032,Adults,93575
E10000032,12-17,4805
E09000033,Under 12,4893
E09000033,Adults,26738
E09000033,12-17,2695
E06000064,Unknown,17670
E08000010,Unknown,7961
E06000054,Under 12,18194
E06000054,Adults,29579
E06000054,12-17,2661
E08000015,Under 12,6571
E08000015,Adults,10557
E08000015,12-17,1024
E08000031,Under 12,7102
E08000031,Adults,12624
E08000031,12-17,1436
E10000034,Under 12,11025
E10000034,Adults,33259
E10000034,12-17,2142
