Authority,Period,Age group,Count
E10000008,2023-04-01/P1Y,Adult,83881
E10000008,2023-04-01/P1Y,12-17,7997
E08000017,2023-04-01/P1Y,Under 12,3719
E08000017,2023-04-01/P1Y,Adult,9076
E08000017,2023-04-01/P1Y,12-17,607
E06000059,2023-04-01/P1Y,Under 12,7460
E06000059,2023-04-01/P1Y,Adult,17585
E06000059,2023-04-01/P1Y,12-17,1448
E08000027,2023-04-01/P1Y,Unknown,28047
E06000011,2023-04-01/P1Y,Under 12,9476
E06000011,2023-04-01/P1Y,Adult,31012
E06000011,2023-04-01/P1Y,12-17,2075
E10000011,2023-04-01/P1Y,Unknown,42567
E06000014,2023-04-01/P1Y,Unknown,24736
E08000037,2023-04-01/P1Y,Under 12,3469
E08000037,2023-04-01/P1Y,Adult,12627
E08000037,2023-04-01/P1Y,12-17,769
E09000011,2023-04-01/P1Y,Under 12,5335
E09000011,2023-04-01/P1Y,Adult,19264
E09000011,2023-04-01/P1Y,12-17,1262
E09000012,2023-04-01/P1Y,Under 12,4947
E09000012,2023-04-01/P1Y,Adult,9543
E09000012,2023-04-01/P1Y,12-17,1703
E06000006,2023-04-01/P1Y,Under 12,2099
E06000006,2023-04-01/P1Y,Adult,4380
E06000006,2023-04-01/P1Y,12-17,603
E09000013,2023-04-01/P1Y,Unknown,20825
E10000014,2023-04-01/P1Y,Unknown,149893
E09000014,2023-04-01/P1Y,Under 12,8396
E09000014,2023-04-01/P1Y,Adult,24256
E09000014,2023-04-01/P1Y,12-17,3238
E09000015,2023-04-01/P1Y,Unknown,34260
E06000001,2023-04-01/P1Y,Under 12,1069
E06000001,2023-04-01/P1Y,Adult,2342
E06000001,2023-04-01/P1Y,12-17,85
E06000019,2023-04-01/P1Y,Unknown,18119
E10000015,2023-04-01/P1Y,Under 12,16009
E10000015,2023-04-01/P1Y,Adult,44073
E10000015,2023-04-01/P1Y,12-17,6844
E06000010,2023-04-01/P1Y,Unknown,17309
E06000046,2023-04-01/P1Y,Unknown,11106
E09000019,2023-04-01/P1Y,Unknown,22190
E09000020,2023-04-01/P1Y,Under 12,2813
E09000020,2023-04-01/P1Y,Adult,13020
E09000020,2023-04-01/P1Y,12-17,1377
E10000016,2023-04-01/P1Y,Under 12,72545
E10000016,2023-04-01/P1Y,Adult,102253
E10000016,2023-04-01/P1Y,12-17,12318
E09000021,2023-04-01/P1Y,Under 12,5093
E09000021,2023-04-01/P1Y,Adult,9169
E09000021,2023-04-01/P1Y,12-17,1677
E08000034,2023-04-01/P1Y,Adult,27270
E08000011,2023-04-01/P1Y,Under 12,2488
E08000011,2023-04-01/P1Y,Adult,3669
E08000011,2023-04-01/P1Y,12-17,439
E09000022,2023-04-01/P1Y,Unknown,57275
E10000017,2023-04-01/P1Y,Under 12,38107
E10000017,2023-04-01/P1Y,Adult,66467
E10000017,2023-04-01/P1Y,12-17,7728
E06000016,2023-04-01/P1Y,Under 12,21822
E06000016,2023-04-01/P1Y,Adult,31218
E06000016,2023-04-01/P1Y,12-17,6387
E10000018,2023-04-01/P1Y,Unknown,53096
E09000023,2023-04-01/P1Y,Unknown,19187
E10000019,2023-04-01/P1Y,Under 12,12483
E10000019,2023-04-01/P1Y,Adult,28488
