Authority,Age group,Count
Camden,12-17,748
Ealing,Total,44796
Ealing,Under 12,6876
Ealing,Adults,5064
Ealing,12-17,32856
Hillingdon,Total,34277
Hillingdon,Under 12,14039
Hillingdon,Adults,17431
Hillingdon,12-17,2807
Hounslow,Total,29908
Hounslow,Under 12,5640
Hounslow,Adults,21371
Hounslow,12-17,2897
Richmond Upon Thames,Total,28941
Richmond Upon Thames,Under 12,6404
Richmond Upon Thames,Adults,19823
Richmond Upon Thames,12-17,2714
Sutton,Total,35260
Sutton,Under 12,7871
Sutton,Adults,23473
Sutton,12-17,3916
Luton,Total,12570
Luton,Under 12,
Luton,Adults,
Luton,12-17,
Manchester,Total,92969
Manchester,Under 12,18711
Manchester,Adults,65091
Manchester,12-17,8861
Merton,Total,
Merton,Under 12,
Merton,Adults,
Merton,12-17,
Middlesbrough,Total,2710
Middlesbrough,Under 12,1165
Middlesbrough,Adults,55
Middlesbrough,12-17,1490
Newcastle Upon Tyne,Total,14225
Newcastle Upon Tyne,Under 12,
Newcastle Upon Tyne,Adults,
Newcastle Upon Tyne,12-17,
Newham,Total,65909
Newham,Under 12,29681
Newham,Adults,29348
Newham,12-17,6880
Norfolk,Total,144487
Norfolk,Under 12,35589
Norfolk,Adults,100494
Norfolk,12-17,8404
North East Lincolnshire,Total,8925
North East Lincolnshire,Under 12,1839
North East Lincolnshire,Adults,6675
North East Lincolnshire,12-17,411
North Lincolnshire,Total,15635
North Lincolnshire,Under 12,4222
North Lincolnshire,Adults,7096
North Lincolnshire,12-17,
North Somerset,Total,27765
North Somerset,Under 12,7712
North Somerset,Adults,18998
North Somerset,12-17,948
North Tyneside,Total,20699
North Tyneside,Under 12,5376
North Tyneside,Adults,14485
North Tyneside,12-17,838
North Yorkshire,Total,58510
North Yorkshire,Under 12,
North Yorkshire,Adults,
North Yorkshire,12-17,
Northumberland,Total,20130
Northumberland,Under 12,
Northumberland,Adults,
Northumberland,12-17,
Nottingham,Total,38053
Nottingham,Under 12,8253
Nottingham,Adults,26467
Nottingham,12-17,3333
Nottinghamshire,Total,108627
Nottinghamshire,Under 12,
Nottinghamshire,Adults,
Nottinghamshire,12-17,
Oldham,Total,14771
Oldham,Under 12,5814
Oldham,Adults,7514
Oldham,12-17,1443
Oxfordshire,Total,70873
Oxfordshire,Under 12,27233
Oxfordshire,Adults,4763
Oxfordshire,12-17,38877
Peterborough,Total,170757
Peterborough,Under 12,42581
Peterborough,Adults,115112
Peterborough,12-17,13064
Portsmouth,Total,14886
Portsmouth,Under 12,5056
Portsmouth,Adults,9256
Portsmouth,12-17,574
Reading,Total,12938
Reading,Under 12,
Reading,Adults,
Reading,12-17,
Rochdale,Total,12981
Rochdale,Under 12,5688
Rochdale,Adults,6893
Rochdale,12-17,400
Rotherham,Total,15008
Rotherham,Under 12,
Rotherham,Adults,
Rotherham,12-17,
Windsor and Maidenhead,Total,16024
Windsor and Maidenhead,Under 12,
Windsor and Maidenhead,Adults,
Windsor and Maidenhead,12-17,
Rutland,Total,5609
Rutland,Under 12,1281
Rutland,Adults,4031
Rutland,12-17,252
Salford,Total,19049
Salford,Under 12,
Salford,Adults,
Salford,12-17,
Sandwell,Total,18786
Sandwell,Under 12,6812
Sandwell,Adults,9192
Sandwell,12-17,2782
Sefton,Total,36004
Sefton,Under 12,8665
Sefton,Adults,23080
Sefton,12-17,4259
Sheffield,Total,66280
Sheffield,Under 12,
Sheffield,Adults,
Sheffield,12-17,
Shropshire,Total,35900
Shropshire,Under 12,
Shropshire,Adults,
Shropshire,12-17,
Solihull,Total,16539
Solihull,Under 12,
Solihull,Adults,
Solihull,12-17,
Somerset,Total,70478
Somerset,Under 12,18251
Somerset,Adults,49728
Somerset,12-17,2499
South Gloucestershire,Total,45726
South Gloucestershire,Under 12,20126
South Gloucestershire,Adults,23972
South Gloucestershire,12-17,1628
South Tyneside,Total,11490
South Tyneside,Under 12,4295
South Tyneside,Adults,6893
South Tyneside,12-17,302
Southampton,Total,19790
Southampton,Under 12,
Southampton,Adults,
Southampton,12-17,
Southwark,Total,31382
Southwark,Under 12,
Southwark,Adults,
Southwark,12-17,
St. Helens,Total,10171
St. Helens,Under 12,3696
St. Helens,Adults,5990
St. Helens,12-17,485
Staffordshire,Total,59967
Staffordshire,Under 12,17369
Staffordshire,Adults,34042
Staffordshire,12-17,8556
Stockport,Total,23189
Stockport,Under 12,
Stockport,Adults,
Stockport,12-17,
Stockton-on-Tees,Total,15277
Stockton-on-Tees,Under 12,4796
Stockton-on-Tees,Adults,10145
Stockton-on-Tees,12-17,336
Stoke-on-Trent,Total,16763
Stoke-on-Trent,Under 12,4255
Stoke-on-Trent,Adults,10153
Stoke-on-Trent,12-17,2355
Suffolk,Total,
Suffolk,Under 12,
Suffolk,Adults,
Suffolk,12-17,
Sunderland,Total,6191
Sunderland,Under 12,
Sunderland,Adults,
Sunderland,12-17,
Surrey,Total,184421
Surrey,Under 12,45848
Surrey,Adults,127083
Surrey,12-17,11490
Swindon,Total,14366
Swindon,Under 12,4710
Swindon,Adults,8154
Swindon,12-17,1502
Tameside,Total,14742
Tameside,Under 12,
Tameside,Adults,
Tameside,12-17,
Telford and Wrekin,Total,11281
Telford and Wrekin,Under 12,
Telford and Wrekin,Adults,
Telford and Wrekin,12-17,
Thurrock,Total,19871
Thurrock,Under 12,6033
Thurrock,Adults,11548
Thurrock,12-17,1839
Torbay,Total,16278
Torbay,Under 12,3421
Torbay,Adults,11733
Torbay,12-17,1124
Tower Hamlets,Total,25035
Tower Hamlets,Under 12,6129
Tower Hamlets,Adults,14667
Tower Hamlets,12-17,3110
Redbridge,Total,29207
Redbridge,Under 12,10277
Redbridge,Adults,14729
Redbridge,12-17,4201
Wakefield,Total,31187
Wakefield,Under 12,6086
Wakefield,Adults,22275
Wakefield,12-17,2826
Walsall,Total,35449
Walsall,Under 12,10846
Walsall,Adults,18496
Walsall,12-17,2431
Wandsworth,Total,44705
Wandsworth,Under 12,11432
Wandsworth,Adults,22252
Wandsworth,12-17,3669
Warrington,Total,16992
Warrington,Under 12,
Warrington,Adults,
Warrington,12-17,
Warwickshire,Total,58754
Warwickshire,Under 12,
Warwickshire,Adults,
Warwickshire,12-17,
West Berkshire,Total,14861
West Berkshire,Under 12,4744
West Berkshire,Adults,8745
West Berkshire,12-17,1372
West Sussex,Total,146044
West Sussex,Under 12,46932
West Sussex,Adults,93575
West Sussex,12-17,4805
Westminster,Total,38544
Westminster,Under 12,4893
Westminster,Adults,26738
Westminster,12-17,2695
Westmorland and Furness,Total,17670
Westmorland and Furness,Under 12,
Westmorland and Furness,Adults,
Westmorland and Furness,12-17,
Wigan,Total,7961
Wigan,Under 12,
Wigan,Adults,
Wigan,12-17,
Wiltshire,Total,51109
Wiltshire,Under 12,18194
Wiltshire,Adults,29579
Wiltshire,12-17,2661
Wirral,Total,18152
Wirral,Under 12,6571
Wirral,Adults,10557
Wirral,12-17,1024
Wolverhampton,Total,21162
Wolverhampton,Under 12,7102
Wolverhampton,Adults,12624
Wolverhampton,12-17,1436
Worcestershire,Total,46426
Worcestershire,Under 12,11025
Worcestershire,Adults,33259
Worcestershire,12-17,2142
